gene,p,mean
CASP4,1.1358324173390614e-05,0.5094349608155982
ALAS2,1.1489902004329513e-05,0.5007993243410265
PVR,1.1529106838846371e-05,-0.513407516130414
USP5,1.174178647197185e-05,-0.5130026189290062
CTSK,1.1757435555546106e-05,0.5515744131716894
WDR46,1.1893334886472975e-05,-0.4859026757377236
SLC16A14,1.2030908562069589e-05,0.44767846755744145
CD55,1.2169911278466613e-05,0.524435469236828
ANKRD12,1.2452528313015028e-05,0.4762149420527259
PEBP1,1.2596083136596629e-05,-0.559459077513351
HS3ST1,1.2789131172153069e-05,0.5066350559824013
GCNT2,1.2840938317008296e-05,-0.46089111347286793
GPS1,1.288813152646362e-05,-0.45620570032553975
ERLIN2,1.2888225076171606e-05,-0.49669815737395107
IFT22,1.2888225076171606e-05,0.5832547857193224
SERPINF1,1.3036662018752999e-05,0.4793610609419294
BLVRA,1.3111205716545542e-05,0.49988325668834177
DUOX2,1.34918219416263e-05,0.6829687249204774
ARHGEF26,1.3803641053667818e-05,-0.5526389473904002
IFITM1,1.4114067239603121e-05,0.39755562991523336
PTAFR,1.4122326776927564e-05,0.44813982311348927
SLC1A5,1.4284289207029538e-05,-0.4423470506246382
PRPF38A,1.444802214395713e-05,-0.4357008882989144
ARF6,1.444802214395713e-05,-0.41857550824332634
BRD3OS,1.516369040503847e-05,0.4456188341668997
EXOC3-AS1,1.5220068748372915e-05,-0.4483170914420477
TNFAIP8,1.5274582393688248e-05,0.46734707607839543
STXBP4,1.561248918557249e-05,-0.47662576778310073
ZNF839,1.5734220174131906e-05,-0.42024091813824127
HPDL,1.6004372749649063e-05,-0.5230159841130224
ANKRD17,1.63713051050109e-05,-0.38985881788136945
GPX8,1.63713051050109e-05,0.4949560048444662
AGT,1.65576473553304e-05,0.5313020369276922
MKS1,1.6939786433589574e-05,-0.4550153805479464
TOE1,1.7050203539506563e-05,-0.45352706999856096
MED22,1.732404051176793e-05,-0.44866213354063034
USP40,1.853711100939887e-05,-0.38867009772233463
CARD6,1.853711100939887e-05,0.5387268647990939
FBXW4P1,1.8656499146915687e-05,-0.5118576007137289
MR1,1.8959146217470192e-05,0.47265211543500874
MMP3,1.8959146217470192e-05,0.5482891912563435
GATD3,1.9069216457401316e-05,-0.45215004057864827
NOTCH1,1.960939875302386e-05,-0.42653080170195723
ZFPL1,1.983082990050602e-05,-0.4378410875799317
YARS1,2.0062669207184962e-05,-0.4264301622571434
CARS2,2.036516855592184e-05,-0.5095351560310317
TC2N,2.0817721674592197e-05,0.45074133805030253
U2AF2,2.097416995606574e-05,-0.45594289229984464
BCL6,2.1210247167016582e-05,0.5612183868393521
SART3,2.1447673881756467e-05,-0.42337416090239066
PODXL2,2.144885264852614e-05,-0.4181371615620472
SLC19A1,2.2151263991768636e-05,-0.4690161733791718
SLC49A4,2.3451832982992698e-05,0.5207641696780776
POC1A,2.371437262901316e-05,-0.4450762226931685
GREB1,2.39797072888704e-05,0.39901287849290923
MMP7,2.4247865035150325e-05,1.019131609759258
ISG20L2,2.4376707153304062e-05,-0.4662141360721406
DIP2A,2.4518874203491953e-05,-0.5101384546423267
CARS1,2.4966759854158355e-05,-0.47122546521932884
CHRDL2,2.5069561477769416e-05,0.5951289651685608
SAPCD2,2.6094918967652098e-05,-0.48803098928934285
ERMARD,2.649821468736834e-05,0.4359231927733522
SSU72,2.739222060409308e-05,-0.38115590459268206
CLEC2B,2.7897503243737803e-05,0.4015166640613731
RAB8A,2.794393879385812e-05,-0.43613273099405137
KMT5B,2.800407840340595e-05,-0.40819845758276324
ZDHHC3,2.8628915604023017e-05,-0.49433662513347065
CENPV,2.8946088521004668e-05,-0.4935041814574367
TJP2,2.8946282327285025e-05,-0.43717521908122786
VRK2,2.8946282327285025e-05,0.5075257052574975
GCDH,2.9266795788093896e-05,-0.4437202525341225
SETD1A,2.9605020893947334e-05,-0.40663648147784603
DAPP1,2.991857027793211e-05,0.42289822591441484
AFG2B,3.058392092334507e-05,-0.46259955558554045
C4BPB,3.092184613886144e-05,0.4868917955108394
ATG4B,3.092184613886144e-05,-0.3678875719332061
YLPM1,3.092184613886144e-05,-0.44502218524135084
GTF2F1,3.1608369991792195e-05,-0.5190854481249961
SNX12,3.163500122064527e-05,-0.48575033755048114
GJA4,3.195703904432686e-05,0.4256419918694027
SPON2,3.2309360330951565e-05,0.58447980557845
PSMD2,3.2665369873257774e-05,-0.41162584429399707
CLK2,3.320616011548873e-05,-0.4460420495929916
HDHD5,3.4127022658471034e-05,-0.3797346026521926
DUS2,3.441999549702618e-05,-0.4410377569614875
DDR1,3.526380375887261e-05,-0.48621755133104355
RAB40C,3.618550163205156e-05,-0.4179582305314178
KIF22,3.6760945111950785e-05,-0.4344687699492009
BEX5,3.687942393414234e-05,0.40168115864397824
TMEM192,3.7646128873265844e-05,-0.40104446429381024
UQCC1,3.7646128873265844e-05,-0.5479103166779578
HLA-G,3.931838538589596e-05,0.44006716056355694
NEXMIF,3.933472605167024e-05,-0.46088954166613544
AGPAT4-IT1,3.97468190510219e-05,0.46541784465156055
METTL3,4.106045461043129e-05,-0.4700625771940411
PPP2R5D,4.1060984510488185e-05,-0.44392741833676724
EBP,4.1381090730498705e-05,-0.4476520091243327
EDDM3A,4.1507948497256845e-05,-0.4578881488648425
DFFB,4.241576267827334e-05,-0.4631304766413913
AMFR,4.485868846177036e-05,-0.4205719726145209
RAB3GAP2,4.5253280021991145e-05,0.5155311995316757
DNAJC30,4.5253568973802814e-05,-0.3795448277371263
CTSH,4.623886852088501e-05,0.462455970457998
SLC39A5,4.623886852088501e-05,-0.4343035833952307
ADM,4.827051587053414e-05,0.543579017635714
PLEKHS1,4.827082192751103e-05,0.35586614404564665
LAPTM4A,4.84313523713508e-05,0.49237588687929695
KAT5,4.854680749495146e-05,-0.4421230761833608
ILKAP,4.9318269449387584e-05,-0.4919772913462862
SLC35F2,4.9849723069585025e-05,-0.4492028714266552
CPT1C,4.9849723069585025e-05,0.46934582700053407
MED31,4.9850038026890114e-05,0.5317620894093578
NELFE,5.0386920513476846e-05,-0.420079717598979
TIMP1,5.038723849047321e-05,0.5348333083255676
PDP2,5.0414686302421085e-05,-0.4232236782144163
ZG16B,5.147814385348006e-05,0.5985473798811114
OXSR1,5.315381069272642e-05,-0.40957252829358776
ZBTB16,5.315655812108569e-05,-0.41880689665418097
TP53I11,5.315655812108569e-05,-0.43786242014392573
GSTCD,5.3727459872106815e-05,-0.5118472271033299
EMC9,5.4303828025473306e-05,-0.4597428562867265
RNPEP,5.4308023811446835e-05,-0.42365771013596115
APH1B,5.4594375071412086e-05,0.4496951791803432
ASCC2,5.606968607744189e-05,-0.42575672933482356
UBTF,5.667017808988842e-05,-0.48011649328252914
METTL13,5.667017808988842e-05,-0.4185729062076525
CENPBD1P,5.727675828760905e-05,-0.4246030079262827
ADGRE2,5.727675828760905e-05,0.5099615611733745
PRLR,5.9133609338745617e-05,-0.4779154561645624
LILRB3,5.9133609338745617e-05,0.5573353973811229
ZNF410,5.930300128830561e-05,-0.4716097439643287
COMP,5.976512618464023e-05,0.5417038068710591
CCDC87,5.976512618464023e-05,-0.3828970044420584
WDR44,6.040302574436788e-05,0.444895207998756
IFITM2,6.040302574436788e-05,0.45638560195321554
APOE,6.055845657379066e-05,0.4233550430988737
PCCB,6.104736848300489e-05,-0.3874184488741498
NF2,6.132586137866639e-05,-0.4017700428222659
USP7,6.169783469557202e-05,-0.3730599977283549
ECI1,6.169821539506122e-05,-0.5143735040583498
NOL3,6.301966838982622e-05,0.4395917410482135
GNB2,6.36184802167969e-05,-0.4287890334506259
TKFC,6.369039914659746e-05,-0.608692492433695
CEP152,6.427931285466535e-05,-0.37888783922302716
TRDMT1,6.514750449828618e-05,-0.44680397214488243
TULP4,6.644149730524444e-05,-0.4486998941472985
KRTCAP2,6.653712157566916e-05,0.4434442607763042
UBE2M,6.714663833580717e-05,-0.35873240510775695
FKBP10,6.714663833580717e-05,0.3420835520260851
IL33,6.714663833580717e-05,0.4304412415038381
CASP5,6.857821987044799e-05,0.5269255538622569
BTN3A3,6.93047940000862e-05,0.3741529050493385
CIP2A,7.077984740368931e-05,-0.36206817973725164
IFI35,7.077984740368931e-05,0.4444533047829653
NAA40,7.10429523183365e-05,-0.4060781618262796
DCAF11,7.152846380694997e-05,-0.43587572504606925
NPC2,7.152846380694997e-05,0.44775118745315945
CXCL8,7.221055624358303e-05,0.6713063971585072
MMP19,7.228456575332106e-05,0.5265521933999318
INSR,7.228456575332106e-05,-0.5447703865123497
SPOP,7.304822329830775e-05,-0.38567442236339305
APOC1,7.304822329830775e-05,0.46391008980682497
PSMD3,7.40940539561895e-05,-0.3798468426552951
TET3,7.459848843446087e-05,-0.4277644483822429
ABCF2,7.488884652079368e-05,-0.4272555941317589
PTGR2,7.581835345218051e-05,-0.411854890057616
NR2F1,7.617983183877155e-05,0.4801633088159845
PCDHA5,7.657963064209471e-05,0.494989630640615
GPS2,7.683268293933459e-05,-0.47039686932228186
TBX21,7.698233953996588e-05,0.45665649006371317
UBN1,7.77928360377e-05,-0.3757188987011356
PITX1,7.77928360377e-05,0.41219751335084265
PRPF31,7.855618057185429e-05,-0.46535596889480035
EFCC1,7.861139572041977e-05,0.4195382078636326
SMO,7.943809361488727e-05,0.4326816797376152
LGALS2,7.983337405573137e-05,-0.44394099233077056
MRM3,8.02730053911097e-05,-0.40450387397757226
ANXA6,8.161383154461559e-05,0.40470467582851966
FGR,8.196777651487365e-05,0.4906355354846925
CD93,8.196777651487365e-05,0.49196737269672064
LSM11,8.268077548610124e-05,-0.43664604861279566
ADA,8.282630788433895e-05,0.42556965406860275
EXT1,8.282779046346915e-05,-0.5247945409547695
FOXJ3,8.282779046346915e-05,-0.4277495616013295
LILRA5,8.369632750601597e-05,0.3337536433802896
USP10,8.457346660382339e-05,-0.41262137684567984
PSAT1,8.545877934368198e-05,0.44467321055138326
XPNPEP1,8.545928739171062e-05,-0.4418791866549032
PLCB4,8.635387018316682e-05,0.4483748373187058
RUNX2,9.002145169980703e-05,0.4634813257778622
EFCAB14,9.096107333048219e-05,-0.5091296767093145
CPSF4,9.096107333048219e-05,-0.45100854657031964
ILF3,9.096107333048219e-05,-0.3797665174901802
UCK1,9.15952040494575e-05,-0.3889995736276014
GID8,9.190941161782246e-05,-0.5035212879922739
GOT1,9.190995339106606e-05,-0.4927772773203786
VPS33B,9.258654174603865e-05,-0.48093070193032383
KHK,9.286708358377425e-05,-0.72676504385691
CYP2J2,9.28676303372301e-05,-0.5908140455462755
DEPP1,9.286817709312897e-05,0.47883912660078026
BNIP2,9.481244303149964e-05,0.5133879365909418
SHISA5,9.481299987943284e-05,0.4577442270601033
CENPI,9.679623790466718e-05,-0.5036170889306958
RAPGEFL1,9.679623790466718e-05,-0.4897814051637094
TMEM141,9.679623790466718e-05,-0.4266757097599292
ARNT,9.789009413831204e-05,-0.48455934328316524
CSNK2A1,9.926249801376578e-05,-0.47126871112435187
NCOA4,0.00010003422653791393,-0.440883056708384
STARD10,0.00010088080373148113,-0.42119739155277597
INPP5A,0.0001012800951295501,-0.4300318669521388
TRMT12,0.00010245344802180466,-0.44431703263516176
FXR2,0.00010298358370182654,-0.3469044873295352
RGL1,0.00010298358370182654,0.3832979261723703
C1orf52,0.00010351450222220805,-0.38322474321831346
TNPO3,0.00010351510389914325,-0.43417264381648446
ANXA5,0.00010351510389914325,0.5357154671883441
B3GNT9,0.00010405042164553916,0.45302763824231795
SEC22B,0.00010621546463125457,-0.45654192265326965
TLR4,0.00010621546463125457,0.43810095752924755
ZFP36L1,0.00010731386051707685,0.4185800303929053
ATP2B1,0.00010833864492436722,-0.42107145431676896
CYFIP2,0.00011067370763306933,0.4736369289348703
FBXL12,0.00011144251078154005,-0.40528084383178936
SUGP1,0.00011181553730012731,-0.3775801042465168
CALHM6,0.00011273010353720656,0.43296575646916446
FAF2,0.00011296847307020834,-0.3522198695154493
PPM1G,0.00011296847307020834,-0.43314337696972827
OVOL1,0.00011413261566007691,-0.47151904118643095
SLFN11,0.00011413261566007691,0.4733700763885256
PEX1,0.00011769263046249883,-0.4630336458084214
ARHGAP36,0.00011794339232399441,-0.35699997484867646
TAF12,0.00011829548887190347,0.46090762096123883
PDPN,0.0001189032979999701,0.5398638943943233
GAPVD1,0.00012012501497508482,-0.4580308022595279
PAPLN,0.00012135856087939887,0.4529496435178734
MSL1,0.00012260404242489707,-0.3101559080174352
RTL8C,0.00012260404242489707,0.3987247866872735
KRT6B,0.00012386086261106436,0.5612956926167498
VPS13D,0.00012386156720552575,-0.42691007458149
STX6,0.00012386156720552575,-0.3430202665826845
WNK2,0.00012469036727432348,-0.4656521293066434
MST1L,0.0001251312437036869,-0.43510691039497695
CAMK2D,0.00012565220940492558,-0.4125655443558758
SPP1,0.00012967019287773987,0.48679177818081876
GINS1,0.00013043843678766238,-0.4240133999296229
HAUS5,0.00013368722566263033,-0.5645400659391006
GPAT4,0.00013436852941731473,-0.4050620110377433
GLTP,0.0001357306764190949,-0.4127523360553044
FAM234A,0.0001357394338123828,-0.5192600186501362
VPS52,0.00013852086773006865,-0.3818350296297194
ANGPTL2,0.00013852086773006865,0.48140800899619085
HCP5,0.00013927310422246424,0.37691867281255514
ZNF780B,0.0001399316336816107,0.4244538324958454
TFF2,0.0001399316336816107,0.5807934569762483
TOP3A,0.0001399316336816107,-0.45562973555093045
RPUSD4,0.00014135592485890383,-0.4132682936555034
SKIC2,0.0001442455664424412,-0.4417232859765747
PML,0.0001442455664424412,0.40425200272708284
PLEK,0.0001442455664424412,0.41997916284211145
AP1B1,0.00014648236009358207,-0.3832315077533378
CLCN3,0.00014719076946393834,-0.3980396176249352
MYBBP1A,0.00014719076946393834,-0.3522248199133296
BCL2,0.0001483407058762537,0.4648493525631632
GNB3,0.00014943506917379046,-0.46564074280181644
HOMER3,0.00014943589990479305,0.47122201315550977
KRT83,0.0001512954225984754,-0.396030912121092
MAN2A1,0.00015171492819695916,-0.45812663241161666
FRAT2,0.00015171492819695916,-0.41022893014676154
EPB41L4A-AS1,0.00015305840217243346,0.3850726274925257
RGCC,0.00015636889351487555,0.4585173372783196
NPTX2,0.00015636975790315544,0.46016987302548584
MRM2,0.00015726530469844081,-0.4049000424614578
DNAJC21,0.00015954729936055496,-0.4351077304473854
SRCAP,0.00016115876217911548,-0.35732833521688157
COA3,0.0001627855313643512,-0.4206585657239993
ELL2,0.00016442593552031708,0.5295445337322875
ARHGEF9,0.00016442774199404385,-0.3439044288474588
COPA,0.0001652491458335973,-0.3853127062924191
BAHCC1,0.000165253773149354,-0.4227689620537789
MLYCD,0.00016608553023336558,-0.4212653819381704
MYO1C,0.00016608553023336558,-0.4102169372798814
TXLNG,0.00016608553023336558,-0.35580465537783024
SUOX,0.00016775903334262095,-0.3710738250667489
FARP2,0.00016830972913154586,-0.4323331518333581
MPND,0.0001694483896850334,-0.406851530378921
RABL6,0.00017065991836497395,-0.3815214093562002
BBS2,0.00017115373873458073,0.4270887733556409
BCL7C,0.00017124036707499325,-0.4355026119718113
WDFY4,0.0001728752210838732,0.3630666930423033
MAPK7,0.00017461202649221477,0.4542326721597284
ADGRG3,0.0001746129784520806,0.5926700073906406
PLAU,0.0001746129784520806,0.6652095918552677
ZBED1,0.00017636715369290522,-0.3794740406190129
FADS1,0.00017636715369290522,0.4377733574791811
TGFBI,0.00018082242338177283,0.4435604261487046
DDIT4,0.00018082438632110103,0.44748989987125565
FGFR1OP2,0.00018165216676692425,0.4457419121694876
REXO4,0.00018172963237481383,-0.4155293643650348
E2F2,0.00018724512525191355,-0.29888980339792415
HOPX,0.00018724512525191355,0.4377460175501691
PAXBP1,0.00018911832250134326,-0.37751337348042535
ARHGEF38,0.00019291767798410446,0.4138204261244548
SKA1,0.00019484414429637103,-0.4427580129209884
NADK,0.00019660977162324093,-0.3807621422748754
FARSA,0.00019751528831912793,-0.34281928687677354
ZNF174,0.00019875143343751176,-0.3970131895915987
SNX24,0.00020073257172321246,-0.5135750346209956
ADCY4,0.00020102193370009734,0.4353235272506015
RNF167,0.00020273225153636163,-0.48529984965072437
EWSR1,0.00020308938795344166,-0.40162293107899777
EBF3,0.00020475063373760627,0.36273201088347606
CD70,0.00020678677715708132,0.44926434349063726
MTPAP,0.00020678788045617436,-0.30521006809944323
CTSC,0.00020678788045617436,0.41516331742854984
PPP6R3,0.00020729304649871153,-0.43151203058872306
SLC39A1,0.0002078114128993174,-0.5625363632047712
PMEL,0.00020884415509866958,0.4807222370723735
ZC3H12A,0.00020884415509866958,0.48486591870652335
COQ9,0.00021049769869463313,-0.4076097262187732
UTRN,0.00021301444822184118,0.35387890323798443
TXN2,0.00021406803580636868,-0.39967586069935457
FAM118A,0.00021512765803300267,0.753902651819508
CD40,0.00021512879998243948,0.41785867312203023
TMEM268,0.00021619220384524128,0.48873326059665795
ZNF263,0.00021726284624474615,-0.39534479440066045
EMC10,0.00021941675693589415,-0.49608368919939494
DDX52,0.00021941675693589415,-0.33103801964717683
BIRC3,0.00021941675693589415,0.39734345975767194
LPCAT1,0.0002215907033142057,0.47542670993716707
MAP3K4,0.0002237813125128719,-0.3621656063935978
SUPV3L1,0.00022378367615194882,-0.3317653521002887
SEC24C,0.00022378485797833918,-0.368596910431536
GTPBP6,0.00022395606280376572,-0.38983412797539263
DOLPP1,0.00022670501291123337,-0.4331967731646542
CH25H,0.00022711077009704414,0.48564039194374603
DUS1L,0.00022711316429001188,-0.3603540911506541
RSPO3,0.00022823448931563308,0.44473128567338643
VNN1,0.00022823448931563308,0.41498716526862134
SLAMF8,0.00023049031797083578,0.4151931898858846
PLXDC1,0.0002316248454651332,0.3959248868812917
IL20RA,0.00023276583593060537,0.4459324769509351
IFI27L2,0.00023289067709146135,0.44434567068441816
IGFBP7,0.00023304320355067024,0.40015085185112187
CSRNP2,0.00023324791397120122,0.39052852215203226
COL1A1,0.00023391209928099715,0.5509490351210109
FBXW4,0.00023506489152627292,-0.42425029166008177
ROBO4,0.00023506489152627292,0.46378101554811535
FKTN,0.00024208548966678315,-0.36144374487006453
ITGB2,0.0002435776523824523,0.3739884363115382
THAP11,0.00024370174611244207,-0.4341695408537831
MRPL24,0.0002444695007777089,-0.37936161405409047
GZMH,0.00024687552184502826,0.5260302564342891
BAD,0.0002468768089554982,-0.34887665247095523
IQCK,0.0002468768089554982,0.4642633220077186
ZNF875,0.0002493037408290267,-0.33169183552836684
TAF1D,0.00025175434714413936,0.4948058037137057
PPFIA3,0.0002517556563052947,-0.42135501459059566
CCND1,0.0002517556563052947,-0.3699399956720123
EMID1,0.0002517556563052947,0.3374731161435935
SLC26A11,0.00025422753166877773,0.3994827664377085
FBXO31,0.0002542288519831781,-0.3856492594656492
NSD2,0.00025672481830889173,-0.39258757610927275
GBP5,0.00025672481830889173,0.39920008134209906
TYR,0.000259243749119076,0.358859417283655
CHN1,0.00026178448545149046,0.5373999138667503
MGP,0.00026178448545149046,0.47796344493795706
CCDC115,0.0002634871181461125,-0.40119287759639205
GPR37,0.00026435128701839816,-0.3802736060968388
L1TD1,0.00026435128701839816,0.3359198322825796
ASGR1,0.00026563460193796036,0.3742444497495552
ZNF544,0.000266940289289977,-0.44848972055634667
RNF20,0.000266940289289977,-0.3619310095871771
PPFIBP2,0.00026955304643116134,-0.44217336564271037
SUPT4H1,0.00026955304643116134,0.35466003665039436
PYROXD2,0.00026955304643116134,0.40526933296642964
CDK2,0.0002708670010235391,-0.48910053934961767
ZDHHC5,0.0002721855573778857,-0.33583457632368674
TTC21A,0.0002721869581961975,0.4381368570768671
MLEC,0.0002748506324931098,-0.3315376152089977
CCDC43,0.0002748506324931098,-0.43558492436031004
TMEM104,0.0002761398828017518,-0.3980504357388629
GOT2,0.0002775358688709494,-0.3530949738849798
FCRL2,0.0002775358688709494,0.37255473279062645
SLC29A1,0.00027888625715171946,0.4490531937595235
GPCPD1,0.00028024136504297683,0.433904113775048
SLC25A44,0.00028024567505323384,-0.35612990275350553
FBXO16,0.00028231580524396444,0.4270555074259297
PPP2R1A,0.0002829802586868464,-0.2925676899758404
PIK3R3,0.0002829802586868464,0.4228122531380493
BRINP3,0.0002857398290048222,-0.3293031185129851
TMEM158,0.0002857398290048222,0.3859844609311994
UBE3C,0.0002857398290048222,-0.3862252339235244
ILVBL,0.00028669649933536366,-0.36456519494729656
LINC00852,0.00028852459683688955,-0.49050008049138255
PXMP2,0.00029133477462006636,-0.5535915943178723
C2orf15,0.00029133477462006636,-0.42744516901031576
PRPF40A,0.00029133477462006636,-0.3881557898428682
APH1A,0.00029133477462006636,-0.3388121586836327
DAGLB,0.00029133477462006636,-0.3340862890539091
MYEOV,0.00029133477462006636,0.3999387766909097
SUCLG1,0.0002941705764093105,-0.5246542500261416
AP1M2,0.00029559514453675177,-0.38298645997293534
P2RY13,0.00029703221788823195,0.45152431956807915
HTR6,0.00029703221788823195,0.4207255999081295
RNF183,0.00029991991637985465,0.6479704859671485
BBLN,0.00029991991637985465,0.39751617033279796
INPP4A,0.00029991991637985465,-0.3889416897122227
IGDCC4,0.00030577436195536686,0.5149310497464643
SSH1,0.0003072530474120003,-0.2955982923691501
CRYBB2,0.0003087415519800598,0.33243450252637907
EMCN,0.00031173568492099416,0.38882005160919214
PTGDS,0.00031173568492099416,0.39908014255698687
C2,0.00031173568492099416,0.4015344388050271
CXCL12,0.0003119098208145108,0.3772057215261037
