supervised_auc,semi_supervised_auc
0.8316326530612246,0.8137755102040817
0.6938775510204082,0.7168367346938775
0.7346938775510203,0.7168367346938775
0.8384615384615385,0.7846153846153845
0.7692307692307692,0.6205128205128205
0.7653061224489796,0.7219387755102041
0.8698979591836734,0.798469387755102
0.7244897959183674,0.6709183673469388
0.8102564102564102,0.9025641025641026
0.7076923076923077,0.7358974358974358
0.7908163265306123,0.7423469387755102
0.6301020408163265,0.6709183673469389
0.5739795918367347,0.6122448979591837
0.7487179487179487,0.8282051282051283
0.8153846153846154,0.8333333333333334
0.770408163265306,0.75
0.6887755102040816,0.7346938775510203
0.8086734693877551,0.8112244897959183
0.6333333333333333,0.6897435897435897
0.5487179487179488,0.6282051282051282
