gene,mean,count,downregulated
MARVELD3,6.272034689026931e-08,5,5
UBFD1,6.429222466507235e-08,5,0
ERBB3,6.582274796681644e-08,5,5
SLC35F2,6.594194777595372e-08,5,5
GJB1,6.879426558990659e-08,5,5
METTL25B,6.968997807081861e-08,5,5
NECAB3,7.244544423410105e-08,5,5
LPIN1,7.433921030178505e-08,5,0
ARID5A,7.606531310627345e-08,5,0
PDIA5,8.087675994295628e-08,5,0
ABCC1,8.112308378245083e-08,5,0
NMNAT3,8.865114305096855e-08,5,5
KLC4,9.119086150969593e-08,5,5
APH1B,9.678776543390975e-08,5,0
FKBP10,9.780320203236024e-08,5,0
TMEM161B,9.790904838128533e-08,5,5
FXYD5,1.0364913416096618e-07,5,0
STING1,1.118269878206053e-07,5,0
NMT2,1.1348382038655084e-07,5,5
MPC2,1.138340800739002e-07,5,5
FAM241A,1.2130408289866804e-07,5,0
IL33,1.238087605224166e-07,5,0
VIPR1,1.2546984025035586e-07,5,5
MLYCD,1.2557777154877407e-07,5,5
EIF5A2,1.3006519092441724e-07,5,0
TMEM192,1.3335520302570307e-07,5,5
FBXO6,1.336677978661838e-07,5,0
SPNS2,1.3765192594025987e-07,5,0
APOL2,1.3986147725625435e-07,5,0
GPR4,1.4086244939889915e-07,5,0
IL15RA,1.4306629067019622e-07,5,0
SHISA5,1.4819777375064937e-07,5,0
DUSP16,1.4823023331972658e-07,5,5
PARP8,1.6224410616386633e-07,5,0
RGS16,1.6357972085247815e-07,5,0
SDR16C5,1.6580919235347803e-07,5,0
NFS1,1.7017770836652355e-07,5,5
SMIM8,1.801347209432509e-07,5,5
TPRG1L,1.8047410634141298e-07,5,5
PDP1,1.9033245198810293e-07,5,0
C4BPA,1.9924327981813373e-07,5,0
DNMBP,2.0378443685964825e-07,5,5
PDPN,2.055816237781199e-07,5,0
GNA11,2.1043207935452155e-07,5,5
FAP,2.1578060678030596e-07,5,0
CYP2J2,2.1597836000350874e-07,5,5
DPY19L1,2.2130812080599894e-07,5,0
TPM4,2.2459042170093434e-07,5,0
CHRDL2,2.2548520951035546e-07,5,0
HSD17B8,2.2618615173398325e-07,5,5
GJA4,2.3074552014946037e-07,5,0
ADCY9,2.3977783319744663e-07,5,5
ARPIN,2.406316902235203e-07,5,5
SYTL1,2.438241674464308e-07,5,0
SLC16A5,2.4702067557290266e-07,5,5
SAA4,2.4862257315028183e-07,5,0
CNTNAP2,2.5221327769253534e-07,5,5
ZSWIM5,2.5564023318946515e-07,5,5
SEPSECS,2.566807966556178e-07,5,5
DUSP6,2.645100644579021e-07,5,0
PPM1A,2.648787667360377e-07,5,5
ANXA3,2.695922354630726e-07,5,0
PECR,2.7495403816092773e-07,5,5
CD276,2.8006731294578697e-07,5,0
MAST2,2.934461573785664e-07,5,5
ACADS,2.935978023183744e-07,5,5
SETD9,2.936560439125901e-07,5,5
CALU,2.9370378417164827e-07,5,0
RBPMS,2.93781974096059e-07,5,0
ZCCHC14,2.939159352896237e-07,5,5
PDXP,2.940399839730068e-07,5,5
ACOX1,2.941494214906443e-07,5,5
BAG3,2.9420327868109306e-07,5,0
PIM3,2.943465116946076e-07,5,0
SOWAHA,2.944497531110559e-07,5,5
PAQR5,2.945242494248282e-07,5,5
SEMA5A,2.9473964171259455e-07,5,5
RUNDC3B,2.9516005774776227e-07,5,5
SLC25A20,2.952768744324766e-07,5,5
RRAS2,2.953491153308033e-07,5,5
CHPT1,2.9686536779280046e-07,5,5
HIF1A,2.979408731572916e-07,5,0
RHOU,2.984034509820614e-07,5,5
ACADM,2.9875600684406047e-07,5,5
RIPK2,3.001438336333956e-07,5,0
CCL20,3.0032909971726623e-07,5,0
FDX1,3.0034336670621095e-07,5,5
GNA15,3.013278371627818e-07,5,0
PLD1,3.013288373137571e-07,5,5
C2CD4B,3.0145336024939985e-07,5,0
FMO4,3.0154470862246325e-07,5,5
ATG4D,3.017116677247694e-07,5,5
CDKN2B,3.0193810990579584e-07,5,5
PHLPP2,3.0214024825136685e-07,5,5
RMDN2,3.022184043842946e-07,5,5
DHRS11,3.0226580975970354e-07,5,5
MTHFD2,3.023542561300456e-07,5,0
ADAMTS9,3.0244765014984136e-07,5,0
SELENON,3.024715755169679e-07,5,0
BRINP3,3.0248234937585117e-07,5,5
WSCD1,3.0305533226947805e-07,5,5
TCN1,3.0310322017769326e-07,5,0
SLC19A3,3.0318484104188216e-07,5,5
SLC51B,3.041159939367538e-07,5,5
SLC17A4,3.0478308475991124e-07,5,5
CRELD2,3.048129796206117e-07,5,0
MAOA,3.0484909118576557e-07,5,5
CHP2,3.0505399491076575e-07,5,5
EIF4EBP2,3.0533017616202554e-07,5,5
SEPHS2,3.054487591464103e-07,5,5
PITPNC1,3.0565480446128027e-07,5,0
MMP10,3.060159024817819e-07,5,0
VSIG10,3.0672762567071717e-07,5,5
TLNRD1,3.0716746209648396e-07,5,0
PKM,3.072291756823129e-07,5,0
TUBAL3,3.078135545296648e-07,5,5
FNDC3B,3.0818338630861227e-07,5,0
WARS1,3.0839859731989076e-07,5,0
ABCG2,3.08830784923729e-07,5,5
GUCA2A,3.092209544866406e-07,5,5
FKBP11,3.093149225340157e-07,5,0
LRRC75A,3.095771637799415e-07,5,5
ALDH6A1,3.102331900590934e-07,5,5
SCIN,3.103600316875299e-07,5,5
GUCA2B,3.103980970392737e-07,5,5
ALDH18A1,3.108119454391033e-07,5,5
