Gene,P-value
P4HB,8.067897709918147e-31
CHORDC1,1.1489761132096026e-30
TMEM214,1.1632258063922336e-30
BTN2A2,1.310896390191272e-30
SS18L2,1.3174925890677442e-30
CD200,1.3344782343242256e-30
ATM,1.4296696059031855e-30
MALT1,1.4517805100463208e-30
GNG2,1.5310831899231827e-30
RDH11,1.5458809646671366e-30
PMM1,1.5721333951810616e-30
CHRM3,1.6643294505446975e-30
TGIF2,1.704882641201494e-30
COPA,1.7099156765896113e-30
SLC17A9,1.8998381188665944e-30
GALNT6,1.903816984487284e-30
NPDC1,1.969729231936105e-30
EIF3E,2.0560151157428677e-30
RPL7L1,2.113750236893286e-30
NUCB2,2.2054033511688504e-30
HOXD10,2.2950864477697583e-30
BNIP3L,2.299874932630135e-30
PLS3,2.493597549993951e-30
MST1R,2.5153442605820797e-30
SSR3,2.666039012335226e-30
MAP3K8,2.750194411514203e-30
HIVEP2,3.2322798112575936e-30
GNG7,3.242468386619324e-30
GLRX3,3.27056730920405e-30
CDC42EP3,3.436312193164425e-30
CCDC167,3.4633000923080155e-30
USPL1,3.593178731813768e-30
PAIP2,3.744267190393539e-30
SATB1,3.900086185868254e-30
KMT2E,5.645074762572965e-30
SOD2,5.820427813853675e-30
UNC50,5.8845526350810234e-30
PARM1,6.51484455935023e-30
HNRNPA1L2,6.901384767996476e-30
ARID5B,7.478002005034793e-30
UQCRC1,7.487786102534798e-30
ARHGAP26,7.534522737517808e-30
PDE4B,7.796833125330717e-30
SLC16A9,8.423858516852078e-30
HNRNPC,8.90427841848283e-30
SERPINF2,9.247840456662519e-30
CD48,1.0028985018541276e-29
RAB27A,1.1569010541367623e-29
BLOC1S2,1.1813464324947764e-29
NPIPB15,1.2835430019236483e-29
HEBP1,1.2957124823865464e-29
IFNAR2,1.3886034356330055e-29
FAM3B,1.4875418719282875e-29
CTLA4,1.5748386520381122e-29
BTN3A3,1.5780298235217828e-29
ASCC3,1.614390215387291e-29
COMTD1,1.623273825456933e-29
HMCN2,1.6672361715581066e-29
FUOM,1.7258036946139038e-29
CCSER2,1.7874148499914934e-29
TLE4,1.8760175107369288e-29
RPN2,1.9009709794206047e-29
GIPC1,2.0366153086778536e-29
MAP4K5,2.4061230548798954e-29
PITPNB,2.436116129262182e-29
ITPKA,2.5683138634322e-29
ANKRD44,2.5997187268829274e-29
HNRNPA1,2.7490311814785594e-29
MACF1,2.752881034704229e-29
CISD2,2.9184091189967883e-29
MAP2K1,3.021208967493932e-29
CTNNBIP1,3.0433917966439907e-29
MRPL12,3.250607391763051e-29
ARL2,3.3115534635646546e-29
MAD2L2,3.343363581689705e-29
MRPL9,3.428217641094046e-29
ARL3,3.564847016692109e-29
HAPLN3,3.81051688086594e-29
TRIM16,3.870804788895093e-29
MANF,4.495143383155665e-29
ADIPOR1,4.736866587436584e-29
SEC63,4.754414361346193e-29
BAZ2B,5.298891710696665e-29
PACS1,5.50792625285943e-29
ACTR3,6.756312047594869e-29
DNAJB4,6.95691315993927e-29
PTPN7,7.061404099971538e-29
MED10,8.402189644918348e-29
CTNNB1,8.482700270696085e-29
CDC27,8.981377651049737e-29
ACAA1,8.994941896569592e-29
C5orf15,9.369113480419787e-29
PSMA6,1.1029848128292298e-28
WTAP,1.1334854833971655e-28
PLXNA3,1.1584104297020804e-28
RGS2,1.1608912411333605e-28
LY9,1.274451362577394e-28
EEF2,1.4343377935626195e-28
B4GALT3,1.4820683750284088e-28
SURF4,1.5250465394879297e-28
DENND3,1.5342652462042293e-28
TTYH3,1.552652295033231e-28
GTF3A,1.5684628669076488e-28
DPP7,1.6292414536110674e-28
IL15RA,1.6995283215591238e-28
SERPINB8,1.7190113831317337e-28
TICAM1,1.8861356337032116e-28
TMEM82,1.9237509549570929e-28
KCTD14,2.041682485848903e-28
DMKN,2.1102107067330402e-28
TRIM31,2.1177953999901976e-28
TNFRSF14,2.719396924463821e-28
RNASEH2B,2.763880848884442e-28
PHF20,2.8224614067765915e-28
MOB1A,2.861583248163714e-28
BACH1,2.9127408217047107e-28
ANXA6,3.1280179637505458e-28
SEC61A1,3.258616937079758e-28
PNISR,3.2766478758466924e-28
TGFBI,3.2805347192922527e-28
CLINT1,3.38233560162072e-28
C2CD4A,3.4450015392202197e-28
RCOR1,3.810538074087941e-28
DERL2,3.847659283679624e-28
FYN,4.081779835538981e-28
TIFA,4.156315126286352e-28
EMD,4.3869796016030445e-28
LCP1,4.997847632440381e-28
RNMT,5.1619572300476085e-28
MT-ND4,5.450706399551654e-28
PREB,5.518178561635365e-28
SDR16C5,5.666013614587187e-28
SIL1,6.1847056838154845e-28
STK17A,6.363109007539174e-28
GSDMB,6.674389444064989e-28
DNAJC7,6.956767582797345e-28
HSH2D,7.48700423723397e-28
DDX24,7.541327023391587e-28
ENKUR,7.645446580247675e-28
PDE6A,7.775038279029131e-28
CD19,7.838669948270326e-28
CSNK1G2,7.99171696914843e-28
RNF19B,8.205659515320972e-28
SLC2A13,8.226121680587307e-28
SAR1A,8.505218749177295e-28
DDOST,8.521812134922881e-28
ITSN2,8.855809762137759e-28
N4BP2L2,9.372597232028598e-28
RNASEH1,1.0066726951890586e-27
PDIA5,1.0227557813600013e-27
PCNP,1.0491830045879093e-27
HELZ2,1.1741149799725012e-27
AP2S1,1.2186692354064836e-27
CRYL1,1.2376334744100803e-27
RANBP2,1.2867628621638023e-27
CELF2,1.2966060993505352e-27
NAA50,1.3500174649935537e-27
TRABD,1.3531731153186878e-27
EPHX2,1.3912268009132884e-27
SMAD3,1.4001799731058343e-27
AP1S2,1.4422693957547138e-27
TSPYL1,1.5215919608717777e-27
TPBG,1.545336772629639e-27
SULF2,1.678959340277709e-27
GIMAP7,1.691817368824319e-27
SLC25A5,1.7621391362322715e-27
DPH3,1.7743137669823693e-27
ROCK1,1.8288035355076096e-27
SF1,2.0392925719857118e-27
PLSCR1,2.0679022176733764e-27
RHBDF1,2.197664915209692e-27
SPEN,2.2224418275044454e-27
GMDS,2.391510863058323e-27
HNRNPU,2.5564043506442295e-27
CSTF3,2.571011320329395e-27
CD276,2.736677502379743e-27
SPATS2,2.819124432306531e-27
ABCC1,2.9799045501939167e-27
HEXIM1,3.0347121416442306e-27
TMEM30A,3.1424854762892723e-27
HMGN3,3.1794074584206944e-27
ITGAV,3.334914770910133e-27
G3BP1,4.046566234467606e-27
EVL,4.093590880205397e-27
TMA7,5.099025509224244e-27
TPST2,5.145679745283152e-27
OXCT1,5.4394272403270696e-27
SRSF8,5.548090183753284e-27
SLC7A8,5.994728438778765e-27
LRRN2,6.056163130216205e-27
TMBIM4,6.3829017474772605e-27
SH2D1A,6.8251223159161e-27
UBE2D1,6.918819182154148e-27
DDX60L,7.332482156795423e-27
SMIM5,7.56262421383513e-27
WDR77,7.75037396571259e-27
HGSNAT,7.778260281011572e-27
GSDMD,8.398122278240555e-27
RBP2,8.604643929779016e-27
RSL1D1,8.964905293607542e-27
ANP32E,9.10120425271776e-27
MAPK1IP1L,1.0360401962332605e-26
PHACTR1,1.092697843779369e-26
UCHL3,1.1603245097875261e-26
RHOG,1.1779812461805507e-26
VAMP5,1.1839536090249682e-26
CD22,1.207973346007343e-26
TRIM26,1.2127966005878531e-26
SF3B1,1.395870635265066e-26
SEC61B,1.4099706074248252e-26
ATP6V0B,1.5521254924691218e-26
TMED10,1.5600547110473243e-26
TCL1A,1.5610300372261081e-26
NAB1,1.6650857235282718e-26
EIF3H,1.6711792562739495e-26
TOR4A,1.7318771000352022e-26
CD2BP2,1.8635765308054544e-26
USO1,1.8950274523974604e-26
CCNC,2.126800408403469e-26
ARHGAP30,2.1818052601283535e-26
COQ2,2.281963913187026e-26
RPL29,2.3204464996601814e-26
NCF4,2.3444950519885816e-26
BEX5,2.3562682123439977e-26
ADM,2.46346545028322e-26
HSD17B11,2.6054376629497615e-26
ELK4,2.775143502516558e-26
SUMO1,2.802919358522274e-26
NQO2,2.835452986670141e-26
XPOT,3.030586265795425e-26
DDX5,3.0397616044088865e-26
INPP5J,3.067920421228898e-26
ZNF22,3.223640947152071e-26
ANKRD13D,3.256699709830863e-26
RNF114,3.635391414485713e-26
PBLD,3.6654192290054517e-26
ICA1,3.6957251777148716e-26
LYPD5,4.0415617466955066e-26
VEZT,4.120314067797546e-26
ARPC2,4.3922356836002947e-26
CAPZA1,4.527846739195588e-26
MAP3K5,4.63505925156396e-26
CDK2AP1,4.7070530286144395e-26
CALM3,4.7070688759372394e-26
HECTD1,5.002212401850429e-26
RHBDF2,5.021488521766007e-26
NDUFB2,5.1078810027196765e-26
STARD10,5.248597666955812e-26
AHCYL2,5.429323247022919e-26
RALGDS,5.721802992610203e-26
PTMS,5.807621433860157e-26
ETV6,6.089692180791654e-26
RABAC1,6.351191468780535e-26
CD72,6.35966358232113e-26
RBM3,6.522870195903024e-26
BARX2,6.858326860279044e-26
CYP4F12,7.279456904941074e-26
NAMPT,7.726784451037164e-26
IER3,7.857308944275292e-26
PARVA,7.889226999971983e-26
SNRPN,7.896910406212529e-26
IKBIP,8.746110289711083e-26
PCK2,8.747712491753958e-26
WNK1,9.324447996414521e-26
ADAM28,9.580710216755492e-26
ACTN1,9.620893392687396e-26
DPY19L1,9.880057921979931e-26
NELFCD,1.0703651406299542e-25
USP14,1.0745187616995912e-25
PRDM2,1.0816070959523165e-25
CBLB,1.094589544404936e-25
TNFRSF9,1.095980508143944e-25
CKMT1B,1.105546015802969e-25
LYPD6B,1.126233797317141e-25
M6PR,1.140820470764851e-25
RABGAP1L,1.1851186423421783e-25
MAT2A,1.2202659699884649e-25
TGIF1,1.222711964781755e-25
CTSE,1.3086668725069116e-25
DICER1,1.390496809598543e-25
PKP4,1.4332824300013302e-25
AZGP1,1.4452365106623583e-25
PTPRJ,1.4907071239056992e-25
CLCN2,1.4975497786918236e-25
PHF20L1,1.508231942439528e-25
TM2D2,1.5345721063857298e-25
XRN2,1.5401384815876492e-25
TBC1D15,1.7315917817665147e-25
SHH,1.7812800142804466e-25
NDUFB4,1.7822899837297167e-25
BBX,1.8065134535894553e-25
NFAT5,1.940421712888545e-25
ITM2C,1.9449900167017084e-25
NUDCD2,1.95062733344407e-25
RPL36A,2.0164800605529845e-25
AHI1,2.0355918364055824e-25
SET,2.0424224902113377e-25
ILF2,2.056782003719147e-25
CD38,2.191673761317095e-25
SDC4,2.262332949799251e-25
CELF1,2.275676113054413e-25
COA3,2.2968175030411455e-25
IL1B,2.433674785264191e-25
ITGB1,2.4490817051647187e-25
PPM1K,2.469107914601012e-25
CD7,2.4880536136416033e-25
LY86,2.5733500142623176e-25
NR1H4,2.8356615933745066e-25
DTD1,2.8757904701599863e-25
PWP1,2.921305036225974e-25
DENND4A,2.9680836368406387e-25
USP34,3.004157176791608e-25
HNRNPLL,3.383978413387234e-25
CNOT7,3.4035134637276446e-25
RAB8B,3.4989382908116305e-25
SNX2,3.603454062340891e-25
EIF3K,3.6754151600932376e-25
TRIAP1,3.6784403360759655e-25
RND1,3.945373032943e-25
SHMT2,4.028976653489271e-25
TIMM9,4.0319916471718866e-25
PSMA2,4.305935528616758e-25
COA1,4.45476338060385e-25
TGFBR2,4.468523022886847e-25
AKIRIN1,4.555550361337064e-25
SEPHS2,4.707305472696092e-25
ANKLE2,4.759976536911309e-25
VPS35,5.117668789725663e-25
RHOF,5.286710206495296e-25
RASGRP1,5.322686665549595e-25
RAB24,5.342527243171867e-25
TOPORS,5.429393119165245e-25
WSB1,5.628029642827207e-25
CIITA,5.635887538580427e-25
REEP5,5.896442029789568e-25
CHST12,5.915370043019701e-25
CLK4,5.931916726544696e-25
ACAP1,6.180223338975145e-25
BSPRY,6.21341173821876e-25
DYNLT3,6.557634431094251e-25
TM2D3,7.393202768077786e-25
LIPA,7.568427437426431e-25
SHB,7.619070697095382e-25
PPARGC1A,7.642667884174983e-25
CCDC60,8.1499173016597125e-25
CAPN8,8.206838924020163e-25
FAM98A,8.232019129416862e-25
EPHA2,8.448116840035686e-25
ABCE1,8.901467723865027e-25
GBP5,9.33438204191829e-25
TMEM106A,9.642893724622086e-25
LEPROTL1,1.0066656563687543e-24
SERPINH1,1.0330254009305789e-24
TCP1,1.0429983381173404e-24
SLC4A7,1.0892257040258337e-24
DNAJC10,1.1764306954346195e-24
ATRX,1.238722562874677e-24
YIPF4,1.3491068370825889e-24
PPP4R1,1.3771672121032757e-24
LAPTM4A,1.5092829057490045e-24
ACSL3,1.6152859196619632e-24
PSMD12,1.6382772250660483e-24
ZMYM2,1.7000310461461725e-24
IGSF9,1.8238225174398894e-24
RAB31,1.91728548642409e-24
TMEM72,1.99456464159259e-24
ATXN10,2.037980733550805e-24
UBE2N,2.079726459173196e-24
DEFB4A,2.090863976588814e-24
DYNC1H1,2.1721817140908918e-24
AFTPH,2.2480730689590327e-24
ERN1,2.274024056036562e-24
EEF1E1,2.329189464929278e-24
STT3A,2.352580997942628e-24
PYROXD2,2.409293378339319e-24
CHD1,2.4277344534767905e-24
MTPN,2.4479380446106858e-24
GORASP2,2.4575999171687877e-24
PPP1R12B,2.4795124596657258e-24
CLEC2B,2.511339086021385e-24
CARHSP1,2.563690533560691e-24
XRRA1,2.59091712010423e-24
SLC6A20,2.608579377273323e-24
FMOD,2.7084424878118604e-24
GABPB1,3.35393620823881e-24
CMTM7,3.378721665545534e-24
BLOC1S4,3.409680156389088e-24
ODC1,3.462104387192948e-24
LRRC59,3.5088079992896686e-24
ARL8B,3.683011138975744e-24
GRHL1,3.7910008724181544e-24
MVP,3.813054394622566e-24
IGFLR1,4.00779506633166e-24
EIF2AK3,4.136000588181311e-24
ARFGAP1,4.2221452750650926e-24
UBLCP1,4.3995402887322484e-24
CSTB,4.4304736130006365e-24
IKZF1,4.7411227987174125e-24
LRG1,4.744672284093442e-24
TMEM50A,4.818862416912208e-24
TBL2,4.827661011126946e-24
CRIP1,4.8763365225550026e-24
DGKZ,5.014251739757958e-24
RPL35,5.1138843445303274e-24
ATP6V0E2,5.269910973161022e-24
TPD52L2,5.421327048822071e-24
YPEL2,5.482861677064022e-24
NDUFA6,5.5482871485010186e-24
TFG,5.56313935402791e-24
BIK,5.617472071623058e-24
MRPL18,5.833680493332025e-24
WDR45B,6.2067539782597485e-24
HDAC3,6.251091258245481e-24
NDUFC1,6.380822610974748e-24
UTY,6.412453626514196e-24
URI1,6.800101075577958e-24
MRPL50,6.813403974958527e-24
SGMS2,6.84717995090328e-24
NUBP1,7.291190119822837e-24
SP140L,7.621574458030571e-24
UBA2,7.651175181830057e-24
PRRG4,8.118329877026091e-24
PLEKHF1,8.228652298091402e-24
NONO,8.436785030494339e-24
MRPL21,8.851539348599881e-24
MORF4L1,9.288241011147362e-24
ENC1,9.491660908258565e-24
ANXA3,9.766255890926635e-24
RHOU,9.858841022398112e-24
RPL8,1.0744624806771384e-23
WAC,1.1003113126932463e-23
DENND2D,1.1202559574003088e-23
DRAP1,1.125670692809887e-23
YTHDF2,1.147125535157164e-23
PCBP1,1.1579215938376632e-23
PRKRA,1.1723539294352433e-23
RPL7,1.2363087604115704e-23
GMPR,1.2563691826589261e-23
PSD3,1.3178339467803368e-23
EXT2,1.3615164760526633e-23
TMC8,1.371944920969167e-23
RFX5,1.3800575157107722e-23
POMP,1.3831468418387425e-23
RETSAT,1.4290728703905795e-23
TMEM50B,1.448209167287128e-23
RPS15,1.4558103904335437e-23
FAM107B,1.4622377453504438e-23
ZNF24,1.4965595885831904e-23
CDCP1,1.5042037120747604e-23
XRN1,1.5634711933567655e-23
ARRDC2,1.7090745159560565e-23
HBA2,1.7094844909339348e-23
HINT2,1.7248373152869934e-23
ANKRD10,1.7440758627228172e-23
ALCAM,1.7610834911573122e-23
SERF2,1.7755418141341246e-23
ALG5,1.784939279361625e-23
B9D1,1.8402007301097156e-23
NUS1,1.975284626815223e-23
ST3GAL4,2.1133833897707698e-23
CHMP2A,2.1247973760570892e-23
CCT4,2.1931487949145843e-23
UBXN4,2.2690705945828927e-23
GNPNAT1,2.3241785385487422e-23
SLC2A1,2.3682303519599478e-23
PDK2,2.4504936531734475e-23
NBN,2.534544199328518e-23
B3GNT8,2.573747760389576e-23
TGFB1,2.64427522267772e-23
PDE3B,2.709448382753186e-23
MAP3K13,2.7129875109705533e-23
MTMR9,2.7955145026179845e-23
CBX3,2.799650083760716e-23
CTBS,2.804239582211851e-23
PRMT2,3.278535108688862e-23
ICAM1,3.36598874796663e-23
FCER2,3.381976348162971e-23
RBM8A,3.5532709026650336e-23
CARD11,3.8060259683527053e-23
MORC4,3.849331978044734e-23
ZNF106,3.9803897945781714e-23
OAS2,4.1308137624388157e-23
PPP2CA,4.299329342256325e-23
ALG2,4.369766517734761e-23
DOCK4,4.407574259330643e-23
TMEM156,4.7167045912164544e-23
IFT22,4.793276783345635e-23
TMEM39A,5.097259777748494e-23
PELO,5.102926849078245e-23
UNC119,5.39014977826011e-23
SEC31A,5.390855416133928e-23
BLK,5.54036499308949e-23
DNAJB9,5.559986695187162e-23
KCTD20,5.573176891145243e-23
KPNA6,5.936537307677074e-23
AGTRAP,6.09761264452224e-23
DDIT4,6.195577085705097e-23
NFE2L3,6.502559836522839e-23
TNFRSF4,6.630822726158812e-23
DEGS1,6.665431616632803e-23
ZC3H12C,6.720503129888976e-23
ACOT8,7.47823248494051e-23
TMEM208,7.479779202750264e-23
RPS9,7.65585344898515e-23
RAB6A,7.7450229913338e-23
UNC13D,7.851563652334557e-23
COL1A1,7.920376803447288e-23
ILKAP,8.042030403639447e-23
YWHAG,8.112735737507674e-23
DVL1,8.294807492920019e-23
SNTB2,8.442417746923406e-23
OTUD4,8.56517424546968e-23
CYB561,8.97393763573415e-23
GPATCH8,9.295867193658954e-23
CCDC88B,1.0202484181327654e-22
JAK2,1.0416431752747242e-22
GRB2,1.0602263268798137e-22
EHD1,1.0602786093975806e-22
MAP3K6,1.0689114288390242e-22
TNFRSF12A,1.0934374190408818e-22
IFIT3,1.1066476084705182e-22
MYO6,1.1288457402565446e-22
RNF24,1.1302110664476998e-22
DNALI1,1.2161200241788183e-22
MT1A,1.236085705417174e-22
CAND1,1.238639474350089e-22
CTNNAL1,1.3312151481526912e-22
MYO1E,1.3516348626990972e-22
PPHLN1,1.3615453780950666e-22
TCF4,1.365345424825305e-22
IFI44,1.3806636819401923e-22
TEX11,1.3811976449315727e-22
SLC39A8,1.3849908164030522e-22
LDHD,1.3856633626980467e-22
SH3BP5,1.406193636845202e-22
REL,1.4600603817298698e-22
PIGX,1.4798475839215558e-22
DDX6,1.4889318626747652e-22
IMP3,1.5157768368581975e-22
ABHD3,1.597843937903284e-22
ABT1,1.6366693832088723e-22
LCK,1.649865610439175e-22
MAP1LC3B2,1.7185547910349721e-22
MOV10,1.7339114189568755e-22
COPS3,1.7674627661914998e-22
SUMF2,1.7892008732615428e-22
LDLRAD4,1.8222448561525781e-22
KDM2B,1.840499482078771e-22
NUDT21,2.037690761859728e-22
GADD45B,2.1127541970997976e-22
ATP11B,2.160297458524104e-22
C1orf56,2.2686435595074676e-22
GPA33,2.4639407412313186e-22
RORA,2.48934521338506e-22
USP47,2.5433254373050876e-22
CD70,2.732552687803591e-22
CNIH4,2.7934164182093823e-22
C1GALT1,2.8407810892102173e-22
MORN2,2.859789021851483e-22
TRADD,2.872974125271932e-22
E2F5,2.880848633135703e-22
C17orf49,2.903156604168688e-22
PNPLA8,3.1840600105777246e-22
RBM25,3.2822342042832537e-22
IL6ST,3.479040942147306e-22
COX17,3.640510534365433e-22
PRPF38B,3.7309624221869535e-22
LRRC41,3.957651134953595e-22
RELA,3.966305469800984e-22
DNAJC1,4.049944435773001e-22
ADTRP,4.076567944427414e-22
CLDND1,4.1642265030117947e-22
OSBPL1A,4.216842723593338e-22
ZC3H11A,4.325586616044621e-22
SMOX,4.413598754894477e-22
DENR,4.503479307101751e-22
EPHB2,4.589201602466887e-22
ZNF277,4.88033723232506e-22
NR1H3,5.089122129416101e-22
RPL41,5.098918269211051e-22
PYCR1,5.164454683625368e-22
BOD1,5.196726815187123e-22
PTDSS1,5.239608775242759e-22
SCFD1,5.2742303167359725e-22
PAFAH1B2,5.602684424600832e-22
OAZ2,5.622536732644488e-22
TRIM25,5.666567047031355e-22
IL16,5.815521707787558e-22
LONP2,6.317306941207918e-22
PTP4A2,6.427919038944822e-22
ASPHD2,6.620304452287215e-22
TUBA1A,7.39701859442334e-22
PDS5A,7.47658231920944e-22
EIF3D,7.664962162972203e-22
TSN,7.744908769200164e-22
CRTC3,8.137849981941017e-22
SHF,8.384533177544638e-22
SYNCRIP,8.398352679652711e-22
CTSB,8.398744157313293e-22
EIF2S1,8.510165592350373e-22
CCAR1,9.097256531099907e-22
CYTH1,9.417544166481056e-22
TMEM106B,9.440904056863926e-22
CHD7,9.534623070024622e-22
SLC39A1,9.624487303057934e-22
PTK2,9.655394758651464e-22
GPR137B,9.663703360673272e-22
PITPNA,9.886810826777116e-22
BTF3,1.0021671922028473e-21
KIAA0930,1.0316416295817866e-21
DLGAP4,1.0403150320169727e-21
PRKD3,1.0575992272577157e-21
MFSD6,1.05868015704274e-21
RSL24D1,1.1873629436033946e-21
SURF1,1.2317426515479802e-21
TCN2,1.2765393449985213e-21
TCEAL3,1.2826480554263194e-21
TM9SF4,1.2873383226896017e-21
RANGAP1,1.2944745914296304e-21
CXorf38,1.3369845379950963e-21
SEMA4B,1.4169203987444473e-21
NCKAP1L,1.44176012434275e-21
CHN1,1.4834281059118133e-21
RAB34,1.486345006295496e-21
PRPF4,1.512621026044222e-21
ETF1,1.5972126998947151e-21
POU2AF1,1.5991271418609258e-21
SLC25A32,1.6459604667089022e-21
FRMD8,1.6719703715814527e-21
CMTM8,1.7172206093015618e-21
ECI1,1.7490612237803403e-21
TRMT112,1.784464380531991e-21
SEC24A,1.831539990704764e-21
SDCBP2,1.9086024774962708e-21
KIAA0319L,1.9252330986401144e-21
SPRY2,1.978716199101493e-21
ZNF800,2.0155207605621918e-21
IFFO2,2.0406015329061817e-21
OAS3,2.0434645667293625e-21
NIFK,2.068515019573727e-21
CYP4F2,2.0826637734335784e-21
SRPK2,2.1044773989666387e-21
IL10RA,2.1189808539277276e-21
SLC25A22,2.1921040376111833e-21
ANK3,2.2361827551763922e-21
AKR7A3,2.446589249803446e-21
TCTN1,2.464759327225065e-21
CELA3B,2.517126751335905e-21
PTGR1,2.5384173871619623e-21
VCP,2.589549704776627e-21
NCBP2,2.605613700511145e-21
DEFA6,2.65643132972502e-21
LTK,2.6982459894423623e-21
EIF3F,2.731575171458945e-21
METTL23,2.739916124566183e-21
NPEPPS,2.7788197088929923e-21
GGA2,2.7925334576294567e-21
DR1,2.8137198209640504e-21
ARL1,2.8480036086064225e-21
LRRC58,2.886988522966779e-21
IZUMO4,2.9090212820710735e-21
KRAS,2.9413096495594237e-21
GGT1,2.9791252178070067e-21
E2F4,3.054203860660684e-21
RNF41,3.078273299636403e-21
CD53,3.08430089005677e-21
LIPH,3.147873842510435e-21
TIMM8B,3.1861514439950105e-21
KMT2A,3.3266437655304168e-21
BCAS2,3.391885319167078e-21
MFSD12,3.4231671212121264e-21
CTSC,3.423450264413672e-21
RNF19A,3.441495970193146e-21
ELAVL1,3.448295584687875e-21
CD3D,3.592486530150452e-21
CCT6A,3.6276982203946164e-21
SGSM3,3.66232831343221e-21
CDHR1,3.705910967143645e-21
GOSR2,3.716415643928401e-21
SEL1L,3.787544429908036e-21
ATG12,3.791923515543453e-21
CXCL2,3.815121099673056e-21
TMEM167A,3.937150977083986e-21
BEX2,3.939099793995509e-21
NT5C3A,4.057539361376831e-21
GRAMD1A,4.0697988134733314e-21
RWDD4,4.16610217454786e-21
STK3,4.240972513981391e-21
ATF6B,4.3516525993541084e-21
ZC3H7A,4.418725984753176e-21
TM7SF3,4.685820337591424e-21
PITX1,4.7240592594313904e-21
UBE2Z,4.860296279324919e-21
MRPL19,4.936816287437417e-21
PPT1,4.973886819733499e-21
DST,5.021238389437928e-21
HSPB1,5.057312009291627e-21
SP110,5.086996627235373e-21
STAT5B,5.105714727496702e-21
ENAH,5.147178336791493e-21
EI24,5.423673469570411e-21
SLC36A4,5.5670654996912226e-21
RCSD1,5.628794658217208e-21
LRRC19,5.682148512884079e-21
SERTAD1,5.960919464017771e-21
FKBP2,6.1259536125218705e-21
LSM14A,6.2178769453663686e-21
AGRN,6.264966371837893e-21
HNMT,6.354303899772315e-21
SLC39A6,6.399419182003451e-21
LYPLA1,6.40940676212836e-21
ANKRD12,6.5794007620901025e-21
METRN,6.780427970708392e-21
DDC,6.914584452607985e-21
TESC,7.062166543545675e-21
PJA1,7.075558437191087e-21
LAX1,7.129933119547996e-21
DHCR7,7.276517840683424e-21
CPD,7.373816993075479e-21
ERGIC2,7.808987760158733e-21
CLIP1,7.996080005289864e-21
RPS19,8.556398300980592e-21
LSM12,8.571003837459884e-21
ACSL4,8.99748011320655e-21
GTF2E2,8.999258811179923e-21
NDUFA11,9.345755338623883e-21
WDR26,9.526728744553706e-21
TRAF3,9.58617243221253e-21
ITGAL,9.938235383658443e-21
SSR4,1.0012071497568241e-20
FAM167B,1.012645235735705e-20
ST6GALNAC6,1.0170963686176177e-20
KATNBL1,1.0343224847676774e-20
GPX8,1.0442185080588887e-20
ACBD3,1.0517901250912808e-20
ALKBH5,1.0794015075103556e-20
MRPL3,1.1027966759325915e-20
TMEM109,1.1171380168788588e-20
MTMR6,1.2275815114225923e-20
BIRC6,1.2303043695271099e-20
IBTK,1.2669792460874709e-20
ARHGEF35,1.272146415691098e-20
CFI,1.3438939090323301e-20
SOWAHC,1.3882292940544656e-20
RASAL1,1.4471521579869883e-20
USP36,1.5234097280442177e-20
SLC35C1,1.6005781391532874e-20
ORMDL1,1.6076738010924175e-20
MAP4K4,1.6193676324443328e-20
CCNK,1.630021624418865e-20
IP6K2,1.639067714843745e-20
GANAB,1.693659962049649e-20
IFT20,1.6982669439574243e-20
STARD4,1.7153535521176995e-20
DUSP10,1.7169690468400426e-20
JPH1,1.722890085521064e-20
UBE2V2,1.733496764981842e-20
TXLNA,1.7835340649468507e-20
TXNIP,1.787940714325862e-20
HYAL2,1.8172040762250242e-20
GSPT1,1.829549546116035e-20
JAG1,1.9259271346579706e-20
ATP10D,1.9456664341835204e-20
TNFRSF18,2.0021945688500824e-20
DENND2A,2.0126706998991074e-20
CHD4,2.063313348450163e-20
C8G,2.09996889364397e-20
RPS6KA3,2.1424380624172057e-20
GYG2,2.1596754448901354e-20
MRPL23,2.214729336736716e-20
ELF1,2.222309147809517e-20
NFKB2,2.2224754901760944e-20
PHF5A,2.2350115807093798e-20
SGPP1,2.2374983686678224e-20
PAIP1,2.2694433774990915e-20
TRPS1,2.3078345667502776e-20
MPG,2.3431530460072096e-20
POLR2C,2.3595919435092133e-20
CLNS1A,2.380033999996578e-20
WDR44,2.4028124391269033e-20
C1orf174,2.6034486297618222e-20
RNF141,2.6901551950599864e-20
PELI1,2.715919269525711e-20
GPR180,2.8330909511505144e-20
TNKS2,2.847545592378387e-20
CDC123,2.974087003624265e-20
NFKBID,2.981412298000374e-20
DDX60,2.993006107263177e-20
TM9SF3,3.069629016597058e-20
C1GALT1C1,3.16524098870492e-20
DCTN6,3.1717932897635093e-20
TSPYL2,3.287780261087215e-20
RPS6KA5,3.4106214593498725e-20
DCAF13,3.464162793582149e-20
MZT1,3.490631495591539e-20
STRIP2,3.575403510229552e-20
RBM5,3.655932846335717e-20
LAG3,3.666264069966838e-20
CEP164,3.687296372975278e-20
LRRC8B,3.7255195901910427e-20
ATP2A3,3.789204546900809e-20
PDLIM7,3.886015569242793e-20
RAB1A,4.1686261547508174e-20
ZHX2,4.196538787464194e-20
SLC36A1,4.2666764651581726e-20
GYG1,4.284868589469534e-20
DNASE2,4.3373219186754964e-20
RB1CC1,4.450960611110092e-20
