library,term,datasets,combined_nes,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,median_gene_set_size,mean_lead_fraction,lead_genes_all,lead_genes_all_size,lead_genes_core,lead_genes_core_size,q_value,cluster_id,abs_combined_nes,rep_term
Reactome_2022,RNA Polymerase III Transcription Initiation From Type 1 Promoter R-HSA-76061,10,-1.552817266779769,0.3089519452325227,-2.1583630794355138,-0.9472714541240246,5.006064973667179e-07,0.0,0.0,down,1,9,0.9,0.021484375,27,0.3639088319088319,BDP1;BRF1;CRCP;GTF3A;GTF3C1;GTF3C2;GTF3C3;GTF3C4;GTF3C5;POLR1D;POLR2E;POLR2F;POLR2H;POLR2K;POLR2L;POLR3A;POLR3B;POLR3C;POLR3D;POLR3E;POLR3F;POLR3G;POLR3GL;POLR3H;POLR3K;TBP,26,CRCP;GTF3C1;GTF3C2;POLR2F;POLR2H;POLR3B,6,1.82948919946746e-06,17,1.552817266779769,RNA Polymerase III Transcription Initiation R-HSA-76046
Reactome_2022,Membrane Binding And Targetting Of GAG Proteins R-HSA-174490,10,-1.4017415183748934,0.2790571532051432,-1.948693538656974,-0.8547894980928126,5.083500841385202e-07,0.0,0.0,down,0,10,1.0,0.001953125,15,0.4414285714285714,MVB12B;NMT2;RPS27A;TSG101;UBA52;UBAP1;UBB;VPS28;VPS37A;VPS37B;VPS37C;VPS37D,12,MVB12B;NMT2;TSG101;UBB;VPS28;VPS37B;VPS37C,7,1.8540429479971437e-06,6,1.4017415183748934,Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729
Reactome_2022,MET Receptor Recycling R-HSA-8875656,10,-1.4251515695449204,0.2838517251618636,-1.981500950862173,-0.8688021882276677,5.146726178573147e-07,0.0,0.0,down,0,10,1.0,0.001953125,9,0.4666666666666667,ARF6;CRK;CRKL;GGA3;GRB2;PIGU;RAB4A;SOS1,8,ARF6;CRKL;PIGU;RAB4A,4,1.8733254843136464e-06,76,1.4251515695449204,MET Receptor Recycling R-HSA-8875656
Reactome_2022,Apoptosis R-HSA-109581,10,1.4313370888751558,0.2871643895390083,0.8684948853786995,1.994179292371612,6.216008288095765e-07,0.6275604160768168,0.7254518874647964,up,9,1,0.9,0.021484375,177,0.3397392412783052,ACIN1;ADD1;AKT1;AKT2;AKT3;APAF1;APIP;APPL1;ARHGAP10;AVEN;BAD;BAK1;BBC3;BCAP31;BCL2;BCL2L1;BID;BMF;BMX;C1QBP;CARD8;CASP3;CASP6;CASP7;CASP8;CASP9;CDKN2A;CFLAR;CLSPN;CTNNB1;CYCS;DAPK1;DAPK3;DBNL;DCC;DFFA;DFFB;DIABLO;DSG1;DSG2;DSG3;DYNLL2;E2F1;FADD;FASLG;FASN;FZR1;GAS2;GSDMD;GSDME;GSN;GZMB;H1-1;H1-2;H1-3;H1-5;HMGB1;HMGB2;KPNA1;KPNB1;LMNA;LMNB1;LY96;MAGED1;MAPK1;MAPK3;MAPK8;MAPT;MED12;NDUFA2;NMT1;PKN2;PLEC;PMAIP1;PPP3CC;PPP3R1;PRKCQ;PROC;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB7;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD10;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD5;PSMD6;PSMD7;PSMD8;PSMD9;PSME1;PSME2;PSME3;PSME4;PSMF1;REXO2;RIPK1;ROCK1;RPS27A;SEM1;SEPTIN4;SPTAN1;STAT3;STK24;STK26;TANK;TFDP1;TFDP2;TJP1;TJP2;TLR4;TMED7-TICAM2;TNFRSF10A;TNFRSF10B;TNFSF10;TP53;TP53BP2;TP63;TP73;TRADD;UACA;UBA52;UBC;UNC5B;VIM;YWHAB;YWHAE;YWHAG;YWHAH;YWHAQ;YWHAZ,156,AKT3;APIP;ARHGAP10;BAK1;BID;CARD8;CASP8;CFLAR;CTNNB1;DAPK1;DBNL;DSG3;FASN;GSDMD;GSDME;GZMB;KPNB1;LMNA;LMNB1;LY96;MAGED1;NMT1;PLEC;PMAIP1;PPP3R1;PRKCQ;PSMA1;PSMA3;PSMA4;PSMA5;PSMA6;PSMB1;PSMB10;PSMB2;PSMB3;PSMB4;PSMB5;PSMB6;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMD12;PSMD13;PSMD14;PSMD4;PSME1;PSME2;PSME4;REXO2;SEM1;SEPTIN4;STAT3;TANK;TLR4;TMED7-TICAM2;TNFRSF10A;TNFRSF10B;VIM,61,2.257983733567317e-06,2,1.4313370888751558,Antigen processing-Cross Presentation R-HSA-1236975
Reactome_2022,Activated NTRK2 Signals Thru PI3K R-HSA-9028335,10,-1.4779443278640194,0.2966442975874571,-2.0593671511354352,-0.8965215045926035,6.28620035469929e-07,0.0,0.0,down,0,10,1.0,0.001953125,6,0.4600000000000001,GRB2;NTF4;NTRK2;PIGU;PIK3CA;PIK3R1,6,NTRK2;PIGU;PIK3R1,3,2.278905098527257e-06,5,1.4779443278640194,FGFR2 Alternative Splicing R-HSA-6803529
Reactome_2022,Alpha-oxidation Of Phytanate R-HSA-389599,10,-1.3603670200084832,0.2732593589727063,-1.895955363594988,-0.8247786764219788,6.414523583408993e-07,0.0,0.0,down,1,9,0.9,0.021484375,6,0.6166666666666666,ALDH3A2;KRTAP11-1;PECR;PHYH;SLC25A17;SLC27A2,6,ALDH3A2;PECR;PHYH;SLC27A2,4,2.320774632477373e-06,4,1.3603670200084832,Citric Acid (TCA) Cycle And Respiratory Electron Transport R-HSA-1428517
Reactome_2022,Digestion Of Dietary Carbohydrate R-HSA-189085,10,-1.3562109293385305,0.2724468657164137,-1.8902067861427008,-0.8222150725343597,6.428067984565189e-07,0.0,0.0013783090803158,down,2,8,0.8,0.109375,11,0.6077922077922077,AMY1A;AMY1B;AMY1C;AMY2A;AMY2B;CHIA;CHIT1;LCT;MGAM;PMEL;TREH,11,AMY1A;AMY1B;AMY1C;AMY2A;AMY2B;PMEL;TREH,7,2.321032930953778e-06,34,1.3562109293385305,Digestion R-HSA-8935690
Reactome_2022,G Alpha (Z) Signaling Events R-HSA-418597,10,1.3370006744578076,0.2689734693225063,0.8098126745856952,1.86418867432992,6.669337653253393e-07,0.0,0.0,up,9,1,0.9,0.021484375,46,0.3801613732141021,ADCY1;ADCY2;ADCY4;ADCY6;ADCY7;ADCY8;ADRA2A;ADRA2B;ADRA2C;GNAI1;GNAI2;GNAI3;GNAS;GNAT3;GNAZ;GNB1;GNB2;GNB3;GNB4;GNB5;GNG10;GNG11;GNG13;GNG2;GNG4;GNG7;GNG8;GNGT1;GNGT2;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCQ;RGS16;RGS17;RGS19;RGS20;RGS4;RGSL1,42,ADCY1;ADCY4;ADCY7;GNAI2;GNAS;GNB2;GNB4;GNB5;GNG10;GNG11;GNG2;GNGT2;PRKCB;PRKCH;PRKCQ;RGS16;RGS19;RGS4,18,2.403352951142508e-06,3,1.3370006744578076,Chemokine Receptors Bind Chemokines R-HSA-380108
Reactome_2022,Drug ADME R-HSA-9748784,10,-1.513121004367486,0.3045565471529357,-2.11005183678724,-0.9161901719477322,6.755074816178208e-07,0.6260813747587557,0.6617975417178275,down,2,8,0.8,0.109375,86,0.3677852883280468,ABCB1;ABCC1;ABCC2;ABCC3;ABCC4;ABCC5;ABCG2;ACSM5;ACY1;ADH1A;ALB;BCHE;BSG;CES2;CNDP2;CYP2C19;CYP2C8;CYP2C9;CYP3A4;GGT1;GGT5;GGT6;GGT7;GLYAT;GLYATL1;GMPS;GSTA1;GSTA2;GSTM1;GSTP1;GSTT1;GUK1;HPRT1;IMPDH2;NME2;NT5C2;NUDT15;PCK1;PON3;RNASE1;SLC16A1;SLC22A2;SLC22A3;SLC22A7;SLC28A2;SLC28A3;SLC29A2;SLCO1B1;SLCO1B3;SULT1A1;SULT1A4;SULT1E1;SULT2A1;TPMT;UGT1A1;UGT1A10;UGT1A3;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A8;UGT1A9;UGT2A1;UGT2A2;UGT2A3;UGT2B10;UGT2B11;UGT2B15;UGT2B17;UGT2B28;UGT2B4;UGT2B7;UGT3A1;VAV2;VAV3;XDH,77,ABCB1;ABCC3;ABCG2;ADH1A;BCHE;BSG;CES2;CYP2C8;CYP3A4;GGT6;GSTA1;NT5C2;NUDT15;PCK1;PON3;SLC16A1;SULT1A1;UGT1A1;UGT1A10;UGT1A3;UGT1A4;UGT1A5;UGT1A6;UGT1A7;UGT1A8;UGT1A9;UGT2A1;UGT2A3;UGT2B28;VAV2;VAV3,31,2.429409610828306e-06,9,1.513121004367486,Glucuronidation R-HSA-156588
Reactome_2022,Reversible Hydration Of Carbon Dioxide R-HSA-1475029,10,-1.4119985771576289,0.2844012071838639,-1.969424943238002,-0.8545722110772553,6.876758826823703e-07,0.0,0.0,down,1,9,0.9,0.021484375,12,0.3944444444444444,CA1;CA12;CA13;CA14;CA2;CA3;CA4;CA5A;CA6;CA7,10,CA1;CA12;CA2;CA3;CA7,5,2.4682652217706506e-06,44,1.4119985771576289,Reversible Hydration Of Carbon Dioxide R-HSA-1475029
