library,term,datasets,combined_nes,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,median_gene_set_size,mean_lead_fraction,lead_genes_all,lead_genes_all_size,lead_genes_core,lead_genes_core_size,q_value
Reactome_2022,Ovarian Tumor Domain Proteases R-HSA-5689896,10,1.1112931741839562,0.3140583493254039,0.49573880950616467,1.726847538861748,0.00040241841933393035,6.194028687078916e-06,0.0,up,8,2,0.8,0.109375,39,0.23646616541353382,CDK1;IFIH1;IKBKG;MAVS;NOD1;NOD2;OTUB1;OTUB2;OTUD3;OTUD5;OTUD7A;OTUD7B;PTEN;RHOA;RIGI;RIPK1;RIPK2;RNF128;RNF135;RPS27A;TNFAIP3;TNIP1;TNIP2;TNIP3;TRAF3;TRAF6;TRIM4;UBA52;UBE2D1;VCP;VCPIP1;YOD1;ZRANB1,33,CDK1;NOD2;OTUB2;RIPK2;TNFAIP3;TNIP3;VCP,7,0.0009410326952113017
GO_Biological_Process_2023,L-glutamate Transmembrane Transport (GO:0015813),10,1.1709930658856926,0.3309503068927364,0.5223304643759292,1.819655667395456,0.00040275096895351096,5.964084632993157e-06,0.0,up,8,2,0.8,0.109375,14,0.3722222222222222,PRAF2;SLC17A7;SLC17A8;SLC1A1;SLC1A2;SLC1A3;SLC1A4;SLC1A6;SLC1A7;SLC25A12;SLC25A13;SLC25A18;SLC25A22;SLC7A11,14,PRAF2;SLC1A3;SLC1A4;SLC7A11,4,0.0009415882709677107
GO_Molecular_Function_2023,G Protein-Coupled Receptor Kinase Activity (GO:0004703),9,1.2869595211202336,0.363744846180562,0.5740196226063321,1.999899419634135,0.0004030430732393772,5.9608609865491405e-06,0.0,up,9,0,1.0,0.00390625,5,0.577777777777778,GRK2;GRK3;GRK4;GRK6;GRK7,5,GRK2;GRK3;GRK6,3,0.0009420490502518681
WikiPathway_2023_Human,Parkin Ubiquitin Proteasomal System Pathway WP2359,10,1.3027505375806283,0.36831649628826324,0.5808502048556323,2.0246508703056243,0.000404636890476401,0.9679482356101079,0.7518492010655908,up,8,2,0.8,0.109375,69,0.3822801847315779,CASP1;CASP8;CCNE1;CUL1;FBXW7;GPR37;HSPA14;HSPA1A;HSPA1B;HSPA1L;HSPA2;HSPA4;HSPA5;HSPA6;HSPA8;HSPA9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD1;PSMD10;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD5;PSMD6;PSMD7;PSMD8;PSMD9;RNF19A;SEPTIN5;SIAH1;SIAH2;SNCA;SNCAIP;STUB1;TUBA1A;TUBA1B;TUBA1C;TUBA3C;TUBA3D;TUBA3E;TUBA4A;TUBAL3;TUBB;TUBB1;TUBB2A;TUBB2B;TUBB3;TUBB4A;TUBB4B;TUBB6;TUBB8;UBA1;UBE2G2;UBE2J1;UBE2J2;UBE2L6,65,CASP1;CASP8;CCNE1;FBXW7;HSPA5;HSPA6;PSMC2;PSMC3;PSMC4;PSMC5;PSMD1;PSMD12;PSMD13;PSMD14;PSMD4;PSMD6;SNCAIP;TUBA1A;TUBA1B;TUBA1C;TUBA4A;TUBB;TUBB2A;TUBB2B;TUBB3;TUBB6;UBA1;UBE2J1;UBE2L6,29,0.0009455514421573216
GO_Molecular_Function_2023,"Oxidoreductase Activity, Acting On NAD(P)H, Heme Protein As Acceptor (GO:0016653)",10,1.2866592541392925,0.36390945892905313,0.5733967146383484,1.9999217936402367,0.0004067614934984402,5.9608609865491405e-06,0.0,up,10,0,1.0,0.001953125,9,0.30833333333333335,CYB5R1;CYB5R2;CYB5R3;CYB5R4;NDOR1;NQO1;POR,7,CYB5R2;CYB5R3,2,0.0009502922262104228
GO_Biological_Process_2023,Negative Regulation Of Monocyte Chemotaxis (GO:0090027),10,1.214674245376793,0.3435927973154453,0.5412323626385201,1.8881161281150658,0.0004074442418763048,4.835380920209902e-06,0.0,up,9,1,0.9,0.021484375,5,0.52,DUSP1;GREM1;SLAMF8;SLIT2,4,DUSP1;GREM1;SLAMF8,3,0.0009516630525803444
GO_Molecular_Function_2023,Voltage-Gated Channel Activity (GO:0022832),9,1.3142102452927509,0.3718229455452275,0.585437272024105,2.042983218561397,0.00040853893620163316,6.427319807784141e-06,0.0,up,9,0,1.0,0.00390625,7,0.46031746031746024,CACNA1H;CALHM1;CALHM3;KCNA3;KCNK15;PKD2;TMEM266,7,KCNA3;PKD2;TMEM266,3,0.0009539951842767764
GO_Cellular_Component_2023,"RNA Polymerase II, Core Complex (GO:0005665)",10,-1.202099248080547,0.34016289743651695,-1.8688185270561202,-0.5353799691049738,0.00040948697082833133,3.3539087011408793e-06,0.0,down,2,8,0.8,0.109375,13,0.41382783882783886,POLR2B;POLR2C;POLR2D;POLR2E;POLR2F;POLR2G;POLR2H;POLR2I;POLR2J;POLR2J2;POLR2J3;POLR2K;POLR2L;POLR2M,14,POLR2E;POLR2F;POLR2H;POLR2I;POLR2J;POLR2J2,6,0.0009559838275872156
GO_Biological_Process_2023,Endocytosis (GO:0006897),10,1.1007084149433966,0.31150981511272147,0.49014917732246244,1.7112676525643307,0.00041015344978616514,0.6955777686480725,0.749929287531758,up,9,1,0.9,0.021484375,185,0.31832446489266264,ADORA2A;ADRB2;ADRB3;AHSG;AMPH;ANXA1;ANXA3;AP2A1;AP3M1;AP3M2;APOE;APP;ARHGAP27;ASGR1;ATP6V1H;ATP9A;ATP9B;AXL;BIN1;BIN3;CAV1;CAV3;CD14;CD302;CD93;CEACAM4;CLEC9A;CLINT1;CLN3;CLTC;CLTCL1;CORO1A;CORO1C;CSNK1D;CSNK1E;CSNK1G1;CSNK1G2;CTTN;CXCL16;CYTH2;DAB2;DENND1A;DENND1C;DNER;DNM1;DNM3;DPYSL2;EHD1;EHD2;EHD3;EHD4;ELANE;ENTHD1;EPN1;EPN2;EPN3;EPS15;EPS15L1;EQTN;FCGR2B;FOLR1;GAS6;HEATR5B;HIP1;HSPG2;IGF2R;IL10RA;INPPL1;ITGAM;ITGB1;ITGB2;JMJD6;LDLR;LDLRAD3;LMBR1L;LRP1;LRP1B;LRP3;LRP8;LRRK2;LRSAM1;M6PR;MAPK1;MARCO;MERTK;MESD;MET;MIB1;MICALL1;MRC1;MSR1;MST1R;MYD88;MYL1;MYO1E;NECAP2;NEURL1B;OCIAD2;P2RY6;PDLIM7;PECAM1;PI4KB;PICALM;PIK3C2A;PIK3C3;PIKFYVE;PIP5K1A;PIP5K1C;PLD4;PPT1;RAB11FIP2;RAB17;RAB22A;RAB34;RAB5A;RAB7A;RABEPK;RALBP1;RHOBTB1;RHOBTB2;RHOJ;RHOQ;RHOU;RIN3;RINL;RNASEK;SCARA5;SCARB2;SCARF1;SFTPD;SLC11A1;SNX18;SNX5;SORL1;SORT1;STAB1;STAB2;SYP;SYT7;TAFA4;TBC1D2B;TFR2;TICAM2;TLR4;TM9SF4;TMEM108;TOM1;TSC2;TYRO3;VLDLR;WASF1,151,ADORA2A;ADRB2;AMPH;ANXA1;ANXA3;APOE;CAV1;CD14;CD93;CEACAM4;CLINT1;CORO1A;CORO1C;CSNK1E;CSNK1G2;CXCL16;DENND1C;DNM1;DNM3;EHD1;EHD2;EHD3;EPN2;FCGR2B;HIP1;HSPG2;IL10RA;ITGAM;ITGB1;ITGB2;JMJD6;LDLR;LDLRAD3;LRP8;LRRK2;MESD;MET;MICALL1;NECAP2;P2RY6;PDLIM7;PECAM1;PIP5K1C;PPT1;RAB34;RHOBTB1;RHOJ;RHOQ;SLC11A1;TBC1D2B;TICAM2;TLR4;TM9SF4;TYRO3;WASF1,55,0.0009573143725588105
WikiPathway_2023_Human,Endochondral Ossification WP474,10,1.2590151732815442,0.3565441210847616,0.5601886959554115,1.9578416506076768,0.00041373773227490755,0.8781447557042836,0.7367518369787799,up,9,1,0.9,0.021484375,63,0.40077918030232196,ACAN;ADAMTS1;ADAMTS4;ADAMTS5;AKT1;ALPL;BMP6;BMP7;BMPR1A;CDKN1C;CHST11;COL2A1;CST5;DDR2;FGF18;FGF2;FGFR1;FGFR3;FRZB;GH1;GHR;GLI3;HDAC4;HMGCS1;IGF1;IGF2;KIF3A;MEF2C;MGP;MMP13;MMP9;NKX3-2;PLAT;PLAU;PRKACA;PTCH1;PTHLH;RUNX2;RUNX3;SERPINH1;SLC38A2;SOX5;SOX9;SPP1;STAT1;STAT5B;TGFB1;TGFB2;THRA;TIMP3;VEGFA,51,ADAMTS1;ADAMTS5;ALPL;BMP6;BMP7;CHST11;DDR2;FGF2;FGFR1;IGF2;KIF3A;MGP;MMP9;PLAT;PLAU;PTHLH;RUNX2;RUNX3;SERPINH1;SLC38A2;SPP1;STAT1;TGFB1;TGFB2;TIMP3,25,0.0009648965023344608
