library,term,datasets,combined_nes,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,median_gene_set_size,mean_lead_fraction,lead_genes_all,lead_genes_all_size,lead_genes_core,lead_genes_core_size,q_value
Reactome_2022,Class B/2 (Secretin Family Receptors) R-HSA-373080,3,1.3519147534580873,0.42103065516394667,0.5266946693367519,2.177134837579423,0.0013228998510919077,0.0,0.0,up,3,0,1.0,0.25,90,0.35362318840579715,ADCYAP1;ADCYAP1R1;ADGRE1;ADGRE2;ADGRE3;ADGRE5;ADM;ADM2;C1QTNF1;CALCRL;CD55;CRHR2;CYSLTR2;DHH;FZD1;FZD10;FZD2;FZD4;FZD6;FZD7;FZD8;FZD9;GCG;GIPR;GLP1R;GLP2R;GNAS;GNB2;GNB4;GNB5;GNG11;GNG13;GNG2;GNG3;GNG7;GNGT2;PTCH2;PTH1R;RAMP1;RAMP2;RAMP3;SHH;SMOX;UCN;UCN2;UCN3;VIPR2;WNT1;WNT10A;WNT10B;WNT2B;WNT3;WNT4;WNT5A;WNT6;WNT7A;WNT7B,57,ADGRE2;ADGRE3;ADGRE5;ADM;ADM2;C1QTNF1;CALCRL;CD55;CYSLTR2;FZD1;FZD4;FZD7;GCG;GIPR;GNB2;GNB4;GNB5;GNG11;GNG3;GNGT2;RAMP1;RAMP2;RAMP3;SHH;SMOX;UCN2;UCN3;VIPR2;WNT4;WNT5A,30,0.007188647822295998
Reactome_2022,VEGF Binds To VEGFR Leading To Receptor Dimerization R-HSA-195399,3,1.5110962135152128,0.47064049244505884,0.5886408483228975,2.433551578707528,0.0013240153345268624,0.0,0.0,up,3,0,1.0,0.25,8,0.625,FLT1;FLT4;KDR;PGF;VEGFA;VEGFB;VEGFC;VEGFD,8,FLT1;KDR;VEGFA;VEGFB;VEGFC,5,0.007188647822295998
Reactome_2022,MTOR Signaling R-HSA-165159,3,-1.4744619760136608,0.4609808776439839,-2.377984496195869,-0.5709394558314524,0.0013812931922196903,0.0,0.0,down,0,3,1.0,0.25,40,0.2894308943089431,AKT1;AKT1S1;CAB39;CAB39L;EEF2K;EIF4E;EIF4G1;FKBP1A;LAMTOR1;LAMTOR3;MTOR;PPM1A;PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG3;RHEB;RPS6;RPTOR;RRAGC;RRAGD;SLC38A9;STK11;STRADB;YWHAB,27,EEF2K;LAMTOR3;PPM1A;PRKAA1;PRKAB1;SLC38A9;STRADB;YWHAB,8,0.00747717991477006
Reactome_2022,Chylomicron Remodeling R-HSA-8963901,3,1.6144946528057824,0.5049097771933592,0.6248714895067985,2.6041178161047664,0.0013858097067367403,0.0,0.0,up,2,1,0.6666666666666666,1.0,9,0.7407407407407408,APOA1;APOA4;APOA5;APOB;APOC2;APOC3;APOE;GPIHBP1;LPL,9,APOA1;APOA4;APOB;APOC2;APOC3;APOE;GPIHBP1;LPL,8,0.007479235670985154
Reactome_2022,SARS-CoV-2 Modulates Autophagy R-HSA-9754560,3,-1.6213053240418198,0.5073371218791802,-2.615686082925013,-0.6269245651586266,0.001394843657834266,0.0,0.0,down,0,3,1.0,0.25,11,0.42424242424242425,TUFM;UVRAG;VPS11;VPS16;VPS18;VPS33A;VPS33B;VPS39;VPS41;VPS45,10,VPS16;VPS33B;VPS41;VPS45,4,0.007505587301679622
Reactome_2022,Macroautophagy R-HSA-1632852,3,-1.3462646935204319,0.42152959610793256,-2.1724627018919795,-0.5200666851488841,0.0014043243302733766,0.0,0.0,down,0,3,1.0,0.25,112,0.355206153763614,ATG10;ATG101;ATG12;ATG13;ATG14;ATG16L1;ATG3;ATG4A;ATG4B;ATG4C;ATG4D;ATG5;ATG9A;BECN1;CETN1;CFTR;CHMP2A;CHMP2B;CHMP4B;CHMP4C;CHMP6;CHMP7;CSNK2B;DYNC1H1;DYNC1I1;DYNC1I2;DYNC1LI1;DYNC1LI2;DYNLL1;FUNDC1;GABARAPL1;GABARAPL2;HDAC6;HSP90AA1;HSPA8;IFT88;LAMTOR1;LAMTOR3;MAP1LC3A;MFN1;MFN2;MTMR14;MTMR3;MTOR;NBR1;PARK7;PEX5;PGAM5;PIK3C3;PIK3R4;PINK1;PLIN2;PLIN3;PRKAA1;PRKAA2;PRKAB1;PRKAB2;PRKAG1;PRKAG3;PRKN;RB1CC1;RHEB;RPTOR;RRAGB;RRAGC;RRAGD;SLC38A9;SQSTM1;TOMM20;TOMM22;TOMM40;TOMM5;TOMM6;TOMM70;TSC1;UBB;UBC;UBE2N;USP30;UVRAG;VCP;VDAC1;WDR45B;WIPI1,84,ATG14;ATG3;ATG4B;BECN1;CETN1;CFTR;CHMP2A;CHMP4C;CHMP6;DYNC1LI2;DYNLL1;GABARAPL2;LAMTOR3;MFN1;MFN2;MTMR3;NBR1;PIK3C3;PINK1;PLIN2;PLIN3;PRKAA1;PRKAB1;PRKAG1;RRAGB;SLC38A9;TOMM22;TOMM40;TOMM70;UBE2N;USP30;VDAC1,32,0.007534179196244109
Reactome_2022,Chk1/Chk2(Cds1) Mediated Inactivation Of Cyclin B:Cdk1 Complex R-HSA-75035,3,-1.5430780342043762,0.48360691576240306,-2.490947589098686,-0.5952084793100662,0.0014189460018296796,0.0,0.0,down,0,3,1.0,0.25,13,0.6666666666666666,CCNB1;CDC25C;CDK1;CHEK1;CHEK2;WEE1;YWHAB;YWHAE;YWHAH;YWHAQ;YWHAZ,11,CCNB1;CDC25C;CDK1;CHEK1;CHEK2;YWHAB;YWHAE;YWHAH;YWHAQ;YWHAZ,10,0.007590101690260534
Reactome_2022,Degradation Of GLI2 By Proteasome R-HSA-5610783,3,-1.5979794793261621,0.5010184878695735,-2.579975715550526,-0.6159832431017981,0.0014253782724900077,0.0,0.0,down,1,2,0.6666666666666666,1.0,58,0.37180985778297293,BTRC;CSNK1A1;CUL1;GLI2;PRKACB;PRKACG;PRKCA;PSMA1;PSMA2;PSMA3;PSMA5;PSMA6;PSMA7;PSMA8;PSMB1;PSMB2;PSMB5;PSMB6;PSMB8;PSMB9;PSMC1;PSMC2;PSMC3;PSMC4;PSMC5;PSMC6;PSMD10;PSMD11;PSMD12;PSMD13;PSMD14;PSMD2;PSMD3;PSMD4;PSMD5;PSMD6;PSMD7;PSMD8;PSMD9;PSME1;PSME2;PSME3;PSME4;RBX1;UBA52;UBC,46,CSNK1A1;CUL1;GLI2;PSMA6;PSMA7;PSMB5;PSMC4;PSMD11;PSMD12;PSMD14;PSMD2;PSMD5;PSMD6;PSMD7;PSME4;UBC,16,0.007602017453280041
Reactome_2022,Plasma Lipoprotein Assembly R-HSA-8963898,3,1.512790380431829,0.47473202860116137,0.5823156043735528,2.443265156490105,0.001439459665601328,0.0,0.0,up,2,1,0.6666666666666666,1.0,16,0.3958333333333333,ABCA1;APOA1;APOA4;APOB;APOC1;APOC2;APOC3;APOE;BMP1;P4HB;PRKACB;PRKACG;PRKCA;SAR1B;TRNP1,15,APOA1;APOB;APOE,3,0.007654538457080004
Reactome_2022,Glycerophospholipid Biosynthesis R-HSA-1483206,3,-1.464450607810301,0.4599365843352896,-2.365926313107469,-0.5629749025131334,0.0014524134975725245,0.0,0.0,down,0,3,1.0,0.25,123,0.19798134989223906,ABHD3;ABHD4;ACP6;AGPAT1;AGPAT2;AGPAT3;AGPAT5;CDIPT;CHEK2;CHKA;CHKB;CHPT1;CPNE3;CRLS1;DGAT1;ETNK1;GNPAT;GPAM;GPAT3;GPAT4;GPD1L;GPD2;HADHA;HADHB;LIPH;LPCAT3;LPCAT4;LPIN2;LPIN3;MBOAT1;MGLL;MIGA2;OSBPL5;PCYT1B;PGS1;PISD;PITPNB;PITPNM1;PLA2G12A;PLA2G2A;PLA2G4A;PLA2G4D;PLA2G4F;PLA2R1;PLAAT1;PLAAT2;PLAAT3;PNPLA2;PNPLA3;SLC44A1;SLC44A3;SLC44A4;SLC44A5;STARD10;TAFAZZIN,55,AGPAT2;AGPAT3;CHKA;CHKB;CHPT1;CPNE3;ETNK1;GNPAT;GPAM;HADHA;HADHB;LIPH;LPCAT3;MBOAT1;MGLL;MIGA2;PLAAT2,17,0.007700773031117666
