dataset,library,Term,ES,NES,NOM p-val,FDR q-val,gene_set_size,n_leading_edge,Lead_genes,rank
GSE75214,Reactome_2022,Mitochondrial Fatty Acid Beta-Oxidation Of Unsaturated Fatty Acids R-HSA-77288,-0.8035838051101099,-1.7373416130450157,0.005660377358490566,0.08789004194635047,6,4,ACADM;HADHA;HADHB;DECR1,152
GSE75214,Reactome_2022,Signaling By ALK R-HSA-201556,0.5357035078143798,1.7367970306324338,0.006564551422319475,0.04380683016718867,26,12,IRS1;MYC;EP300;STAT3;JAK3;PIK3R2;PRDM1;PTN;HIF1A;HDAC3;HDAC1;SIN3A,153
GSE75214,Reactome_2022,Signaling By NTRKs R-HSA-166520,0.3807237262318132,1.7363766014565163,0.0,0.04364799831988459,132,35,IRS1;MAPKAPK2;BRAF;FYN;DUSP6;JUND;CHD4;TRIB1;SRF;RPS6KA2;AP2S1;EGR1;KCNH8;F3;DUSP4;FOS;EGR2;FOSB;NAB2;FURIN;FOSL1;ID4;EP300;AP2A2;PTPRS;DUSP7;EGR3;STAT3;ID1;IRS2;ADCYAP1R1;BCL11B;NTRK3;MAPKAPK3;PIK3R2,154
GSE75214,Reactome_2022,Transcriptional Regulation Of Testis Differentiation R-HSA-9690406,0.6357462004008627,1.7347299177755398,0.008639308855291577,0.0440508953143429,13,6,SOX9;ZFPM2;WNT4;PTGDS;DHH;WT1,155
GSE75214,Reactome_2022,Activation Of Arylsulfatases R-HSA-1663150,0.6309807545386258,1.7343407479135287,0.00646551724137931,0.04382221248619095,13,8,ARSJ;ARSB;STS;ARSA;SUMF1;ARSF;SUMF2;ARSD,156
GSE75214,Reactome_2022,Beta Oxidation Of decanoyl-CoA To octanoyl-CoA-CoA R-HSA-77346,-0.8413043335294643,-1.7327143735889483,0.0038684719535783366,0.09010256469554358,6,4,ACADM;HADHA;HADHB;HADH,157
GSE75214,Reactome_2022,Abacavir ADME R-HSA-2161522,-0.7238660402830022,-1.7310134614796286,0.0057692307692307696,0.08957748677921662,9,4,NT5C2;ABCG2;ABCB1;SLC22A3,158
GSE75214,Reactome_2022,Transport Of Mature mRNA Derived From An Intronless Transcript R-HSA-159231,0.47369637243429896,1.7294967512866304,0.0022172949002217295,0.04564414022591247,42,19,ALYREF;NUP188;POM121C;POM121;NUP35;NUP214;SEC13;SYMPK;NUP58;AAAS;NUP62;NUP98;NUP160;CPSF4;NUP210;NUP205;NUP153;FIP1L1;RANBP2,159
GSE75214,Reactome_2022,Activation Of C3 And C5 R-HSA-174577,0.8175491394714566,1.7280833670750704,0.0021691973969631237,0.04591030655771027,6,6,C3;C4A;C4B;HNRNPC;CFB;C5,160
GSE75214,Reactome_2022,Synthesis Of PIPs At Golgi Membrane R-HSA-1660514,-0.6063029710259387,-1.7256770180461893,0.009398496240601503,0.09256271792632713,17,6,FIG4;OCRL;ARF3;SACM1L;PIK3C2A;PIK3C3,161
GSE75214,Reactome_2022,Processing Of SMDT1 R-HSA-8949664,-0.603228088777488,-1.7251229442587248,0.0038240917782026767,0.09125332450835678,16,5,MICU2;PMPCB;MCU;AFG3L2;MAIP1,162
GSE75214,Reactome_2022,Ethanol Oxidation R-HSA-71384,-0.6846421097009974,-1.7247444259393803,0.013671875,0.08975844393836,11,6,ADH6;ALDH2;ALDH1A1;ADH5;ACSS2;ADH1C,163
GSE75214,Reactome_2022,Branched-chain Amino Acid Catabolism R-HSA-70895,-0.5702913180666418,-1.7218661015671157,0.007575757575757576,0.09100162941943866,21,12,ACAD8;AUH;HIBCH;BCKDHB;DBT;MCCC2;ALDH6A1;LDHD;ECHS1;MCCC1;BCAT1;ACADSB,164
GSE75214,Reactome_2022,Regulation Of HSF1-mediated Heat Shock Response R-HSA-3371453,0.4117283592657557,1.7187771272400656,0.0,0.049841302545536606,81,33,MAPKAPK2;BAG3;NUP188;CCAR2;DNAJB1;POM121C;POM121;NUP35;NUP214;SEC13;BAG2;BAG1;NUP58;HSPA4L;AAAS;NUP62;HSPA12B;POLR1B;NUP98;POLR1A;NUP160;ATM;BAG4;NUP210;HSPA12A;DNAJB6;NUP205;HSPA8;NUP153;HSPA2;RANBP2;HSF1;SERPINA2,165
GSE75214,Reactome_2022,CLEC7A/inflammasome Pathway R-HSA-5660668,0.823732767283408,1.7180639566575417,0.006185567010309278,0.049639039234176764,6,2,RELA;IL1B,166
GSE75214,Reactome_2022,RUNX1 Interacts With Co-Factors Whose Precise Effect On RUNX1 Targets Is Not Known R-HSA-8939243,0.4819865975485818,1.7160769425382845,0.0,0.05004783830478376,35,19,PHC2;SMARCB1;CBX4;ARID1B;EP300;SMARCD1;ARID1A;PHC1;RUNX1;SMARCE1;SMARCA4;SMARCC1;SMARCA2;CBFB;SCMH1;SMARCD2;SMARCC2;RING1;CSNK2A2,167
GSE75214,Reactome_2022,RUNX3 Regulates p14-ARF R-HSA-8951936,0.6961660167355843,1.71604576969442,0.006185567010309278,0.04962726823499565,10,8,CCND1;HDAC4;EP300;TGFB1;CDKN2A;RUNX1;BRD2;CBFB,168
GSE75214,Reactome_2022,Glycerophospholipid Catabolism R-HSA-6814848,-0.7834149252462828,-1.7155298350368353,0.0018656716417910447,0.09497813472883429,7,3,GDE1;GDPD3;GDPD1,169
GSE75214,Reactome_2022,Signaling By NTRK1 (TRKA) R-HSA-187037,0.3867748252058197,1.7147667958768456,0.0,0.04967843529706103,114,39,IRS1;MAPKAPK2;BRAF;DUSP6;JUND;CHD4;TRIB1;SRF;RPS6KA2;AP2S1;EGR1;KCNH8;F3;DUSP4;FOS;EGR2;FOSB;NAB2;FOSL1;ID4;EP300;AP2A2;DUSP7;EGR3;STAT3;ID1;IRS2;ADCYAP1R1;BCL11B;MAPKAPK3;PIK3R2;AP2B1;SHC2;PPP2R1A;NAB1;CRKL;MEF2D;MAPK7;RAPGEF1,170
GSE75214,Reactome_2022,Complex I Biogenesis R-HSA-6799198,-0.4644033422748813,-1.7129797672991502,0.0,0.09551409811783614,51,19,NDUFC2;NDUFB3;NDUFS1;NDUFA6;NDUFS2;TMEM126B;NDUFAF6;NDUFAB1;NDUFB5;NDUFA2;NDUFA5;NDUFB6;NDUFB8;NDUFB9;TIMMDC1;NDUFV2;NDUFA12;NDUFAF5;NDUFAF7,171
GSE75214,Reactome_2022,Purine Catabolism R-HSA-74259,-0.5921516449297919,-1.7110001023849053,0.007104795737122558,0.0959612690088396,17,7,NT5C2;GDA;NUDT9;NT5C1B-RDH14;NUDT15;DNPH1;NT5E,172
GSE75214,Reactome_2022,Cristae Formation R-HSA-8949613,-0.5341673532226776,-1.7107077304611054,0.0018552875695732839,0.09456875486691703,29,13,DMAC2L;ATP5F1C;ATP5PF;IMMT;CHCHD3;SAMM50;ATP5MC1;MTX2;ATP5F1B;ATP5MF;APOO;ATP5PD;ATP5PB,173
GSE75214,Reactome_2022,Cell Junction Organization R-HSA-446728,0.4004070698503444,1.7099365080716928,0.0,0.051468839840867524,86,33,NECTIN4;ANG;CDH5;NECTIN1;FLNC;PARVA;ACTN1;CLDN12;CADM1;FLNA;CLDN3;ILK;NECTIN2;LIMS1;LIMS2;FZR1;FERMT2;ITGB4;CLDN5;CDH11;CD151;LAMA4;CADM3;PVR;VASP;TESK1;SDK1;PARD6A;SDK2;CDH19;PXDN;ITGA6;ARHGEF6,174
GSE75214,Reactome_2022,Nervous System Development R-HSA-9675108,0.3202961825787641,1.7095129902416426,0.0,0.0512335392656675,544,178,EPHB4;RPLP2;EPHA4;EPHB3;EFNA3;RPL23;PKN1;RPSA;RPL27A;FYN;NTN4;EPHB2;GRB10;RPL3;ENAH;RPS19;YAP1;RPS2;RPL30;RPL18A;RPS11;AGRN;RPS28;NFASC;RPL13A;FGFR1;LIMK2;ITGA5;ABL2;LLGL1;RPS6KA2;AP2S1;RHOB;RPS25;RPL36;RPS20;RPS13;UBA52;DAG1;RPL32;RPL27;APH1A;CXCR4;RPL39;COL6A2;PLXND1;DOK1;EPHA2;RAP1GAP;EGR2;RPS8;CLTCL1;EFNB1;RGMA;EPHA3;NAB2;MYH10;EFNB2;ALCAM;LAMC1;RPL11;DPYSL3;NEO1;RPLP0;RPS15;RPL37A;EFNA2;AP2A2;ITGA1;ROBO2;ROBO1;LDB2;CACNA1H;MYL9;RPS3;PABPC1;RPS21;SEMA4D;IRS2;ANK2;GFRA3;RPL29;COL4A2;PIP5K1C;RPS12;RPL38;ITGB3;COL6A1;SYNGAP1;LIMK1;APH1B;RPS3A;WWTR1;CXCL12;COL4A1;UTRN;PDLIM7;PRKCQ;MSN;RPS16;DSCAML1;PAK4;CACNA1C;TLN1;SRGAP2;RELN;RGMB;PIK3R2;RPL12;SHANK3;NCAM1;HSP90AB1;RPL39L;MYH11;RPLP1;SCN4B;RPL21;RPS27;ETF1;PSME2;CLASP2;ISL1;RPL35;L1CAM;AP2B1;SCN7A;EVL;SEMA4A;SLIT3;EIF4G1;VASP;PLXNA4;SEMA3A;RPL10A;SMARCA4;RNMT;PTPRC;GPC1;LAMB1;PSMB7;RPS27A;TEAD1;RPL35A;COL6A3;PIK3R3;PSMD12;TRPC1;CNTN1;GFRA1;NAB1;PSMB9;MMP2;PSMB6;PLXNA3;SCN11A;SPTBN1;SDC2;MAPK7;CLSTN1;CRMP1;ITGA9;SCD5;RPS6KA4;SEMA3E;RPL7;COL4A5;SIAH2;ZSWIM8;PSMB10;RDX;RNPS1;RPL22L1;RPL18;PSMD4;ACTG1;RPS24;DOK6;CNTNAP1,175
