library,term,gene,n_datasets_in_lead,n_datasets_tested,lead_frequency,gene_hedges_g,gene_q_value,gene_direction,gene_datasets
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMB6,1,3,0.3333333333333333,0.020536897046128974,0.9782279768435495,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMC5,1,3,0.3333333333333333,-0.14141248128316392,0.7121653317930533,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD9,1,3,0.3333333333333333,-0.12002125375097497,0.752376081316546,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCB4,1,3,0.3333333333333333,-0.3537506683649289,0.4176754691555406,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMB7,1,3,0.3333333333333333,0.046881503692360695,0.9505419011629361,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCC9,1,3,0.3333333333333333,0.24128678691646052,0.7650779867537585,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMB10,1,3,0.3333333333333333,0.04486409450518477,0.937430104443344,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSME2,1,3,0.3333333333333333,0.20055849151960542,0.7722989878553381,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,CFTR,1,3,0.3333333333333333,-0.16078794108167344,0.6779639824124486,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMB3,1,3,0.3333333333333333,-0.10184499656040927,0.7898922599530865,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSME1,1,3,0.3333333333333333,0.13191198594231676,0.8018825521472368,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCD1,1,3,0.3333333333333333,0.5120218284528016,0.7035125978138324,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMB9,1,3,0.3333333333333333,0.3501766492071597,0.6565612540334843,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCB5,1,3,0.3333333333333333,0.14866077990555768,0.7789859150285858,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,DERL2,1,3,0.3333333333333333,0.31489120791374164,0.3267588913266154,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCG1,1,3,0.3333333333333333,0.24332501189582986,0.6153213037768899,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,ABCB1,1,3,0.3333333333333333,-0.45868519519243217,0.7193164471357131,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMD10,1,3,0.3333333333333333,-0.45055057179079244,0.7311247297426786,down,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMC6,1,3,0.3333333333333333,-0.37516768839238385,0.7680608612636327,up,3
Reactome_2022,ABC-family Proteins Mediated Transport R-HSA-382556,PSMA3,1,3,0.3333333333333333,-0.38939130104042236,0.7463783538659065,up,3
