gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
SNORA54,1,3.357986947232285,0.547916055436294,2.2840714785771485,4.431902415887421,8.862661462549933e-10,0.0,0.0,up,1,0,1.0,,1.9628136341109337e-05
SNORD60,1,2.8987464497062887,0.5078946002954896,1.903273033127129,3.8942198662854484,1.1472982390999164e-08,0.0,0.0,up,1,0,1.0,,0.00012704607050672924
RMRP,1,2.803945912383669,0.5000066558457248,1.8239328669260486,3.78395895784129,2.048942941030434e-08,0.0,0.0,up,1,0,1.0,,0.0001512597977166701
SERPINA1,3,0.794447779866621,0.14420052824896593,0.5118147444986478,1.077080815234594,3.602094000854095e-08,0.0,0.0,up,3,0,1.0,0.25,0.0001780088390727983
SNORD94,1,2.6972400982153415,0.49129846068964983,1.734295115263628,3.660185081167055,4.018802525687414e-08,0.0,0.0,up,1,0,1.0,,0.0001780088390727983
LOC102724200,1,-2.4132130026851932,0.4690719391283285,-3.332594003376717,-1.4938320019936695,2.680137853529337e-07,0.0,0.0,down,0,1,1.0,,0.0009815945624655183
RNVU1-15,1,2.3921665425592256,0.4674838891261132,1.4758981198720438,3.3084349652464073,3.1025249186158974e-07,0.0,0.0,up,1,0,1.0,,0.0009815945624655183
SNORA49,1,2.3227643280632027,0.4623083711860502,1.4166399205385443,3.2288887355878613,5.053382091800904e-07,0.0,0.0,up,1,0,1.0,,0.0012608060895437391
SNORA7B,1,2.310297031405049,0.4613887651024446,1.4059750518042575,3.2146190110058406,5.520813732926721e-07,0.0,0.0,up,1,0,1.0,,0.0012608060895437391
CCL11,3,0.7163922473870608,0.14347473991019852,0.43518175716307167,0.9976027376110499,5.939949099253994e-07,0.0,0.0,up,3,0,1.0,0.25,0.0012608060895437391
NMRAL2P,2,-1.1773175272826308,0.23626914529612464,-1.640405052063035,-0.7142300025022266,6.26218764843145e-07,0.0,0.0,down,0,2,1.0,0.5,0.0012608060895437391
SLC49A4,3,0.7095194136156215,0.14311453947890737,0.4290149162369631,0.99002391099428,7.133141322057668e-07,0.0,0.0,up,3,0,1.0,0.25,0.0013164806738300931
SNX30,1,-2.2353386550034284,0.4559263166652679,-3.1289542356673534,-1.3417230743395034,9.445578106038046e-07,0.0,0.0,down,0,1,1.0,,0.0016091632178032661
TLCD4-RWDD3,1,-2.2222093766802544,0.45498148693355484,-3.113973091070022,-1.330445662290487,1.0386259994479515e-06,0.0,0.0,down,0,1,1.0,,0.0016430321435552703
HOXA10-HOXA9,1,-2.186987297740039,0.4524647103792752,-3.0738181300834184,-1.3001564653966597,1.3415459013885937e-06,0.0,0.0,down,0,1,1.0,,0.001856951067378324
MIR196B,1,-2.186987297740039,0.4524647103792752,-3.0738181300834184,-1.3001564653966597,1.3415459013885937e-06,0.0,0.0,down,0,1,1.0,,0.001856951067378324
HMGXB3,1,2.1734960607410025,0.45150768749571096,1.2885409932494092,3.058451128232596,1.4804046405367978e-06,0.0,0.0,up,1,0,1.0,,0.0019286189161157917
SNORD104,1,2.164385207725821,0.4508636034840601,1.2806925448970634,3.048077870554579,1.5824459550275432e-06,0.0,0.0,up,1,0,1.0,,0.0019470239203330554
TNFSF12-TNFSF13,1,2.150477549698401,0.4498838675752799,1.2687051692508522,3.03224993014595,1.7523190253121075e-06,0.0,0.0,up,1,0,1.0,,0.0020425583922940656
SCARNA8,1,2.1350633645545916,0.44880290924550853,1.2554096624333948,3.0147170666757885,1.962573268659432e-06,0.0,0.0,up,1,0,1.0,,0.002102541437767129
YWHAQP8,1,-2.1329296313794908,0.44865368429540636,-3.012290852598487,-1.2535684101604945,1.9936501644967583e-06,0.0,0.0,down,0,1,1.0,,0.002102541437767129
VPS52,3,-0.6758045156359358,0.14275990223327245,-0.9556139240131498,-0.3959951072587218,2.202963594544194e-06,0.0,0.0,down,0,3,1.0,0.25,0.0022176833967441027
IL33,3,0.7117577416772319,0.15252358417289513,0.4128115166983575,1.0107039666561064,3.063107615774996e-06,0.006094541809607402,0.1844256998102677,up,3,0,1.0,0.25,0.0029013635022782556
SPARCL1,3,0.6654891118151193,0.14277286879251866,0.3856542889817827,0.9453239346484559,3.1441154131339744e-06,0.0,0.0,up,3,0,1.0,0.25,0.0029013635022782556
SNORA68,1,2.0644039924737023,0.44391479980579307,1.194330984854348,2.9344770000930565,3.3121005011462187e-06,0.0,0.0,up,1,0,1.0,,0.0029341235919554125
SNORA52,1,2.0569004625026355,0.4434022777408425,1.187831998130584,2.925968926874687,3.5026221919877114e-06,0.0,0.0,up,1,0,1.0,,0.0029538650056530245
SNORA57,1,2.052162339392978,0.44307930156249675,1.1837269083304847,2.9205977704554718,3.6286551773482805e-06,0.0,0.0,up,1,0,1.0,,0.0029538650056530245
SLC40A1,3,0.6612583881487121,0.14302324436149913,0.3809328292001738,0.9415839470972504,3.774406859502477e-06,0.0,0.1882102056592037,up,3,0,1.0,0.25,0.0029538650056530245
SNORA38,1,2.023281031368023,0.4411216661041531,1.158682565803883,2.8878794969321633,4.5036427480492186e-06,0.0,0.0,up,1,0,1.0,,0.0029538650056530245
RNU1-1,1,2.0084652161338905,0.4401248560380066,1.1458204982993976,2.871109933968383,5.033208969072583e-06,0.0,0.0,up,1,0,1.0,,0.0029538650056530245
RNU1-2,1,2.0084652161338905,0.4401248560380066,1.1458204982993976,2.871109933968383,5.033208969072583e-06,0.0,0.0,up,1,0,1.0,,0.0029538650056530245
RNU1-27P,1,2.0084652161338905,0.4401248560380066,1.1458204982993976,2.871109933968383,5.033208969072583e-06,0.0,0.0,up,1,0,1.0,,0.0029538650056530245
RNU1-28P,1,2.0084652161338905,0.4401248560380066,1.1458204982993976,2.871109933968383,5.033208969072583e-06,0.0,0.0,up,1,0,1.0,,0.0029538650056530245
RNU1-3,1,2.0084652161338905,0.4401248560380066,1.1458204982993976,2.871109933968383,5.033208969072583e-06,0.0,0.0,up,1,0,1.0,,0.0029538650056530245
RNU1-4,1,2.0084652161338905,0.4401248560380066,1.1458204982993976,2.871109933968383,5.033208969072583e-06,0.0,0.0,up,1,0,1.0,,0.0029538650056530245
RNVU1-18,1,2.0084652161338905,0.4401248560380066,1.1458204982993976,2.871109933968383,5.033208969072583e-06,0.0,0.0,up,1,0,1.0,,0.0029538650056530245
RNVU1-7,1,2.0084652161338905,0.4401248560380066,1.1458204982993976,2.871109933968383,5.033208969072583e-06,0.0,0.0,up,1,0,1.0,,0.0029538650056530245
CTSH,3,0.6506332402294506,0.1426219890657918,0.37109414166049864,0.9301723387984024,5.068265237495595e-06,0.0,0.0,up,3,0,1.0,0.25,0.0029538650056530245
HSD3BP4,1,-2.000922969764786,0.4396193649705081,-2.862576925106982,-1.13926901442259,5.326743004398001e-06,0.0,0.0,down,0,1,1.0,,0.00302490711072827
LRRC66,1,-1.9952467650686012,0.439239810797241,-2.8561567942311936,-1.1343367359060088,5.559104189137469e-06,0.0,0.0,down,0,1,1.0,,0.003077937011920688
RNVU1-17,1,1.9892013683597998,0.43883639596553115,1.1290820322673587,2.849320704452241,5.817944452904065e-06,0.0,0.0,up,1,0,1.0,,0.0031426833121577153
MIR7110,1,1.9845860246800435,0.43852898506229215,1.1250692139579508,2.8441028354021363,6.0237872648975595e-06,0.0,0.0,up,1,0,1.0,,0.0031722577371060532
LINC00963,1,1.3696110480538588,0.3029542887602227,0.7758206420838224,1.963401454023895,6.15916750329888e-06,0.0,0.0,up,1,0,1.0,,0.0031722577371060532
TMEM236,1,-1.9684784141055682,0.43746003494349917,-2.825900082594827,-1.1110567456163098,6.8020535627360525e-06,0.0,0.0,down,0,1,1.0,,0.0034237518239526215
APOBEC3A_B,1,-1.9560555040381011,0.4366397939314572,-2.8118695001437573,-1.100241507932445,7.471577407348631e-06,0.0,0.0,down,0,1,1.0,,0.0035561847374659477
AMPD3,3,0.637130923150626,0.14252738778025764,0.35777724310132103,0.916484603199931,7.813368434694823e-06,0.0,0.0,up,3,0,1.0,0.25,0.0035561847374659477
PIGY-DT,1,-1.949311235883503,0.4361960267520429,-2.804255448317507,-1.0943670234494989,7.862724557990302e-06,0.0,0.0,down,0,1,1.0,,0.0035561847374659477
SNORD50A,1,1.9492222772149062,0.4361901805766184,1.094289523284734,2.8041550311450782,7.868020595829297e-06,0.0,0.0,up,1,0,1.0,,0.0035561847374659477
SNORD50B,1,1.9492222772149062,0.4361901805766184,1.094289523284734,2.8041550311450782,7.868020595829297e-06,0.0,0.0,up,1,0,1.0,,0.0035561847374659477
CXCL12,3,0.6341950929262941,0.14231019124379454,0.35526711808845673,0.9131230677641313,8.33366488262044e-06,0.0,0.0,up,3,0,1.0,0.25,0.0036913135231078976
NUDT7,2,-1.0322907134981683,0.2327433400905402,-1.488467660075627,-0.5761137669207095,9.193649769034806e-06,0.0,0.0,down,0,2,1.0,0.5,0.003971436867919989
SLC25A34,1,-1.9253197393900003,0.43462620890615666,-2.7771871088460673,-1.0734523699339333,9.430788290992453e-06,0.0,0.0,down,0,1,1.0,,0.003971436867919989
SNORA65,1,1.9237105060936532,0.43452140731471506,1.0720485477568116,2.775372464430495,9.546692662800025e-06,0.0,0.0,up,1,0,1.0,,0.003971436867919989
SNORD6,1,1.921838136407055,0.4343995474400666,1.0704150234245244,2.773261249389585,9.683369795804372e-06,0.0,0.0,up,1,0,1.0,,0.003971436867919989
RAPGEFL1,3,-0.6432877893844864,0.14555919460534483,-0.9285838108109623,-0.3579917679580105,9.896434330913806e-06,0.001817880660184216,0.31373628207910054,down,0,3,1.0,0.25,0.00398502420230451
NSD2,3,-0.628115748487588,0.14235159139920087,-0.9071248676300216,-0.3491066293451543,1.0221911696972619e-05,0.0,0.0,down,0,3,1.0,0.25,0.004042583542015225
CKMT1B,2,-0.7279578418038801,0.16660877695722306,-1.0545110446400372,-0.40140463896772294,1.2466560494028833e-05,0.0,0.0,down,0,2,1.0,0.5,0.004768836915949277
SNORA33,1,1.8883876211196524,0.43223679050592295,1.0412035117280434,2.7355717305112615,1.2488939410532263e-05,0.0,0.0,up,1,0,1.0,,0.004768836915949277
SNORD68,1,1.8673109228117837,0.43088810481787654,1.0227702373687457,2.711851608254822,1.466685845567508e-05,0.0,0.0,up,1,0,1.0,,0.005505540918946372
SNORD15B,1,1.8590943553535406,0.4303652987161709,1.0155783698698455,2.7026103408372357,1.5616682794484263e-05,0.0,0.0,up,1,0,1.0,,0.0057643778974907165
KPNA7,1,-1.8552417925594114,0.430120742791515,-2.6982784484307807,-1.012205136688042,1.6083226532539297e-05,0.0,0.0,down,0,1,1.0,,0.005839265869117176
ZBTB42,1,1.834632208809237,0.4288187479190891,0.9941474628878225,2.6751169547306515,1.882926425640958e-05,0.0,0.0,up,1,0,1.0,,0.006692847303681366
MRGPRF,2,0.9884206107687816,0.23133139712894896,0.5350110723960417,1.4418301491415215,1.930791973414614e-05,0.0,0.0,up,2,0,1.0,0.5,0.006692847303681366
PET117,1,-1.831130585825241,0.4285985908834215,-2.671183823956747,-0.9910773476937348,1.9340869076426036e-05,0.0,0.0,down,0,1,1.0,,0.006692847303681366
CASP4,3,0.6056388268146222,0.14201014900890185,0.3272989347571746,0.8839787188720698,2.001195656164967e-05,0.0,0.0,up,3,0,1.0,0.25,0.006818535414936234
CRSP8P,1,1.8172067152676474,0.427726207214011,0.9788633491281858,2.655550081407109,2.151798728414142e-05,0.0,0.0,up,1,0,1.0,,0.00722058885427091
AQP7B,1,-1.8131530805653504,0.4274731504212426,-2.651000455390986,-0.9753057057397149,2.2197138112570305e-05,0.0,0.0,down,0,1,1.0,,0.007337313698195441
MIR4656,1,1.8085419738447805,0.4271857977113463,0.9712578103305418,2.6458261373590193,2.2996025579989297e-05,0.0,0.0,up,1,0,1.0,,0.007487828200796058
AFF1-AS1,1,-1.806669422684987,0.42706925881030944,-2.6437251699531936,-0.9696136754167806,2.332867412538619e-05,0.0,0.0,down,0,1,1.0,,0.007487828200796058
SNORA3A,1,1.7989031955203245,0.42658687529453676,0.9627929199430325,2.6350134710976167,2.476091140115066e-05,0.0,0.0,up,1,0,1.0,,0.007833998640018337
SNORA6,1,1.7874648139273086,0.4258792010096291,0.9527415799484356,2.6221880479061817,2.703343502986391e-05,0.0,0.0,up,1,0,1.0,,0.008227999503913338
SNORA62,1,1.7874648139273086,0.4258792010096291,0.9527415799484356,2.6221880479061817,2.703343502986391e-05,0.0,0.0,up,1,0,1.0,,0.008227999503913338
SNORA21,1,1.787044741498451,0.42585327542728296,0.9523723216609763,2.6217171613359254,2.71207822181638e-05,0.0,0.0,up,1,0,1.0,,0.008227999503913338
DNAJC11,3,-0.5930181536634906,0.1421014092961576,-0.8715369158839595,-0.31449939144302175,3.0034593766936624e-05,0.0,0.0,down,0,3,1.0,0.25,0.00898886686697764
SHC2,2,0.9620500053477832,0.23111766352609417,0.5090593848366386,1.4150406258589276,3.146465437287027e-05,0.0,0.0,up,2,0,1.0,0.5,0.009263208917843525
AQP7P5,1,-1.7646798835371722,0.42447952580552006,-2.5966597541159917,-0.9327000129583529,3.220603633331609e-05,0.0,0.0,down,0,1,1.0,,0.009263208917843525
LOC102724507,1,-1.7646798835371722,0.42447952580552006,-2.5966597541159917,-0.9327000129583529,3.220603633331609e-05,0.0,0.0,down,0,1,1.0,,0.009263208917843525
TPTEP2-CSNK1E,1,1.758520110174202,0.4241034297203043,0.9272773879224057,2.5897628324259987,3.376822354048887e-05,0.0,0.0,up,1,0,1.0,,0.00931539569085739
FAM47E-STBD1,1,-1.7536894695246514,0.42380917383941225,-2.5843554502498995,-0.9230234887994034,3.504648679043675e-05,0.0,0.0,down,0,1,1.0,,0.00931539569085739
SNORD3A,1,1.7521371426420336,0.423714743242196,0.9216562458873294,2.5826180393967375,3.546750271920213e-05,0.0,0.0,up,1,0,1.0,,0.00931539569085739
SNORD3B-1,1,1.7521371426420336,0.423714743242196,0.9216562458873294,2.5826180393967375,3.546750271920213e-05,0.0,0.0,up,1,0,1.0,,0.00931539569085739
SNORD3B-2,1,1.7521371426420336,0.423714743242196,0.9216562458873294,2.5826180393967375,3.546750271920213e-05,0.0,0.0,up,1,0,1.0,,0.00931539569085739
SNORD3C,1,1.7521371426420336,0.423714743242196,0.9216562458873294,2.5826180393967375,3.546750271920213e-05,0.0,0.0,up,1,0,1.0,,0.00931539569085739
SNORD3D,1,1.7521371426420336,0.423714743242196,0.9216562458873294,2.5826180393967375,3.546750271920213e-05,0.0,0.0,up,1,0,1.0,,0.00931539569085739
LINC02478,1,-1.7504809121661027,0.4236140610481933,-2.5807644718205616,-0.9201973525116438,3.5922308745343364e-05,0.0,0.0,down,0,1,1.0,,0.00931539569085739
C5orf52,2,-0.9899471641350792,0.23965861041683453,-1.4596780405520748,-0.5202162877180836,3.617302702008107e-05,0.006505365885477834,0.053810042746452125,down,0,2,1.0,0.5,0.00931539569085739
SCARNA13,1,1.744425164895211,0.4232465398362488,0.9148619468161633,2.5739883829742585,3.7635729170842665e-05,0.0,0.0,up,1,0,1.0,,0.009437359522813977
CELA3A,1,-1.741226282926013,0.4230527864661558,-2.5704097443996785,-0.9120428214523476,3.8573745054802763e-05,0.0,0.0,down,0,1,1.0,,0.009437359522813977
SERPINF1,3,0.5842747263386043,0.1419695218879829,0.30601446343815786,0.8625349892390508,3.8635092043382e-05,0.0,0.0,up,3,0,1.0,0.25,0.009437359522813977
FGD5,3,0.5837572475018836,0.14195873619229005,0.30551812456499516,0.8619963704387721,3.9197196147089386e-05,0.0,0.0,up,3,0,1.0,0.25,0.009437359522813977
EFCAB5,1,-1.7376212824912918,0.42283475499779877,-2.566377402286977,-0.9088651626956062,3.965903931965779e-05,0.0,0.0,down,0,1,1.0,,0.009437359522813977
SNORD139,1,1.7373069251241011,0.42281575867024374,0.9085880381304234,2.566025812117779,3.9755119586425e-05,0.0,0.0,up,1,0,1.0,,0.009437359522813977
SNORD83B,1,1.7373069251241011,0.42281575867024374,0.9085880381304234,2.566025812117779,3.9755119586425e-05,0.0,0.0,up,1,0,1.0,,0.009437359522813977
SNORD35B,1,1.736328649156598,0.4227566588829343,0.9077255977460467,2.5649317005671493,4.005561905199412e-05,0.0,0.0,up,1,0,1.0,,0.009437359522813977
B3GNT9,3,0.5807051842010214,0.1418565036289833,0.30266643708821406,0.8587439313138286,4.2470867446464666e-05,0.0,0.0,up,3,0,1.0,0.25,0.0099010768561774
MYL12BP2,1,-1.7243057249296365,0.422032375290962,-2.551489180499922,-0.897122269359351,4.394051837884139e-05,0.0,0.0,down,0,1,1.0,,0.010136986047252087
INMT-MINDY4,1,1.7136021849629377,0.4213907710200336,0.8876762737636719,2.5395280961622033,4.771641528247703e-05,0.0,0.0,up,1,0,1.0,,0.010894592260422874
INTS4P2,1,-1.7096629001754542,0.42115539875416397,-2.535127481733616,-0.8841983186172928,4.918663001233829e-05,0.0,0.0,down,0,1,1.0,,0.011003396918012687
LOC101929322,1,-1.7096629001754542,0.42115539875416397,-2.535127481733616,-0.8841983186172928,4.918663001233829e-05,0.0,0.0,down,0,1,1.0,,0.011003396918012687
EBF3,3,0.575168216236558,0.14178612066876203,0.2972674197257844,0.8530690127473316,4.9794294405769435e-05,0.0,0.0,up,3,0,1.0,0.25,0.011027942382045757
VTRNA1-3,1,1.7059447837919062,0.42093361790288875,0.8809148927022442,2.530974674881568,5.061596789197436e-05,0.0,0.0,up,1,0,1.0,,0.011098929117856992
KIF20B,3,-0.5719306127279653,0.14174082102368607,-0.84974262193439,-0.2941186035215406,5.4591798395509095e-05,0.0,0.0,down,0,3,1.0,0.25,0.011853378030052352
RGL1,3,0.5710346797641205,0.14182142486753,0.2930646870237617,0.8490046725044793,5.662900137393123e-05,0.0,0.0,up,3,0,1.0,0.25,0.012095502700391926
KLK12,3,0.5712193966003396,0.14189218438882503,0.29311071519824256,0.8493280780024366,5.679921799073284e-05,0.0,0.0,up,3,0,1.0,0.25,0.012095502700391926
C1RL-AS1,1,1.687086466435662,0.41981439642276275,0.864250249447047,2.5099226834242767,5.853293068499295e-05,0.0,0.0,up,1,0,1.0,,0.012345988722671798
NPC2,3,0.5697804422167503,0.14188504480010894,0.2916857544085368,0.8478751300249638,5.924717523986267e-05,0.0,0.0,up,3,0,1.0,0.25,0.012378747075823005
NUDT19,2,-0.7528678444169852,0.1876470268745493,-1.1206560170911017,-0.38507967174286856,6.0168483959399666e-05,0.01952977324997052,0.24886594724886268,down,0,2,1.0,0.5,0.01245375153503574
PNRC1,3,0.6831535581464796,0.17046403811214397,0.34904404344667744,1.0172630728462817,6.133603064784054e-05,0.019904710790074345,0.4240770097851735,up,3,0,1.0,0.25,0.012577861766275228
DEPP1,3,0.5675099973158715,0.14170895001289469,0.2897604552905979,0.8452595393411451,6.208110227667873e-05,0.0,0.0,up,3,0,1.0,0.25,0.012613854790106458
TIMP2,3,0.5668646555459033,0.14166010859992473,0.2892108426900508,0.8445184684017557,6.292016630382591e-05,0.0,0.0,up,3,0,1.0,0.25,0.012668117483007566
CCNO,3,0.6103261173403481,0.15326654301108975,0.3099236930386122,0.910728541642084,6.83026180607893e-05,0.00732984320991256,0.14150688959739438,up,3,0,1.0,0.25,0.013627910650381088
MS4A10,1,-1.662787297581444,0.4183862822157016,-2.482824410724219,-0.8427501844386688,7.059030637859399e-05,0.0,0.0,down,0,1,1.0,,0.013958602815774296
SHANK3,2,0.9101944834940803,0.22957420470743373,0.46022904226751016,1.3601599247206504,7.348611757906909e-05,0.0,0.0,up,2,0,1.0,0.5,0.014402628725872947
SNORA55,1,1.650613418581489,0.41767677797673614,0.8319669337470861,2.4692599034158915,7.753581069430285e-05,0.0,0.0,up,1,0,1.0,,0.015034802634864269
MIR215,1,-1.6489964668643167,0.4175828425854672,-2.467458838331832,-0.830534095396801,7.850832742845546e-05,0.0,0.0,down,0,1,1.0,,0.015034802634864269
GIMAP2,3,0.5589840606373688,0.14158025682238665,0.281486757265491,0.8364813640092467,7.874823252107532e-05,0.0,0.0,up,3,0,1.0,0.25,0.015034802634864269
SNORA20,1,1.645225019654654,0.41736401952940233,0.8271915413770256,2.4632584979322827,8.082431253087715e-05,0.0,0.0,up,1,0,1.0,,0.015156868972126536
GPX8,3,0.5582103848224055,0.1417090093900489,0.28046072641790964,0.8359600432269013,8.177719257917992e-05,0.0,0.0,up,3,0,1.0,0.25,0.015156868972126536
CXCR4,3,0.558831125028036,0.1418989255642027,0.28070923092219874,0.8369530191338732,8.208364062833873e-05,0.0,0.3117744203700914,up,3,0,1.0,0.25,0.015156868972126536
INPP5D,3,0.557419799939441,0.14154491477400719,0.2799917669823869,0.8348478328964951,8.212508586513678e-05,0.0,0.0,up,3,0,1.0,0.25,0.015156868972126536
SCRN1,3,0.5569038023937718,0.14177061813534797,0.27903339084848977,0.8347742139390538,8.558287000393072e-05,0.0,0.0,up,3,0,1.0,0.25,0.015664494396504577
SNHG32,3,0.5530062211063796,0.14181865643659913,0.2750416544906453,0.830970787722114,9.643541937864875e-05,0.0,0.0,up,3,0,1.0,0.25,0.017506190434253555
SMC4,3,-0.5514714190510972,0.14160438246359827,-0.8290160086797498,-0.2739268294224446,9.842112531133207e-05,0.0,0.0,down,0,3,1.0,0.25,0.01758469242996924
SLC10A5,1,-1.6188205060456218,0.4158428675194517,-2.4338725263837473,-0.8037684857074965,9.906693171631877e-05,0.0,0.0,down,0,1,1.0,,0.01758469242996924
RNU4ATAC,1,1.6185811207999103,0.41582916397380615,0.8035559594112504,2.4336062821885704,9.924985568005396e-05,0.0,0.0,up,1,0,1.0,,0.01758469242996924
FRY,3,0.5495021029225408,0.14158002040565182,0.2720052629274632,0.8269989429176183,0.00010393709938982809,0.0,0.0,up,3,0,1.0,0.25,0.0182690074617978
SNORA60,1,1.6089603370470977,0.41527973008881275,0.7950120660730248,2.422908608021171,0.00010688714100412764,0.0,0.0,up,1,0,1.0,,0.01863960245526311
RNF130,3,0.546861695740539,0.14157342736028902,0.2693777781143725,0.8243456133667055,0.00011212117130154908,0.0,0.0,up,3,0,1.0,0.25,0.01939959047512037
SNORA13,1,1.5974482173265683,0.414625641356656,0.7847819602675224,2.410114474385614,0.00011679945753434611,0.0,0.0,up,1,0,1.0,,0.02005238438769894
IGFBP7,3,0.543768819330499,0.14140915093511924,0.2666068834976653,0.8209307551633327,0.00012037652651519792,0.0,0.0,up,3,0,1.0,0.25,0.020502725705560478
TRDMT1,3,-0.5434857549519475,0.14141814782238502,-0.8206653246838221,-0.2663061852200729,0.00012148408519596643,0.0,0.0,down,0,3,1.0,0.25,0.020502725705560478
NT5C1B-RDH14,1,-1.5915795148420788,0.41429360988479647,-2.4035949902162796,-0.7795640394678778,0.00012219983713974728,0.0,0.0,down,0,1,1.0,,0.020502725705560478
MCM4,3,-0.5420514694196155,0.14181478082072346,-0.8200084398282335,-0.26409449901099746,0.00013223980977605798,0.0,0.0,down,0,3,1.0,0.25,0.022020414038423728
CD93,3,0.539266463504703,0.1415360162278452,0.2618558716981264,0.8166770553112795,0.0001389102434141698,0.0,0.0,up,3,0,1.0,0.25,0.022821922644696013
CSTA,3,0.5384565631859385,0.14136640648915139,0.2613784064672018,0.8155347199046752,0.00013956220783595263,0.0,0.0,up,3,0,1.0,0.25,0.022821922644696013
BCL2L2-PABPN1,1,-1.5720016197576119,0.41319289423359506,-2.3818596924554583,-0.7621435470597656,0.00014207805789561654,0.0,0.0,down,0,1,1.0,,0.022821922644696013
FTHL17,3,0.5376116423873998,0.14141448370263346,0.2604392543302382,0.8147840304445614,0.00014372225906456038,0.0,0.0,up,3,0,1.0,0.25,0.022821922644696013
SNORD38A,1,1.5692861758965548,0.41304107157280323,0.7597256756138605,2.3788466761792493,0.0001450780994147255,0.0,0.0,up,1,0,1.0,,0.022821922644696013
ZNF460,1,1.5659692432574235,0.4128558997964281,0.7567716796564243,2.375166806858423,0.0001488282584316449,0.0,0.0,up,1,0,1.0,,0.022821922644696013
UGT1A1,1,-1.564561112808483,0.4127773826143553,-2.3736047827326194,-0.7555174428843466,0.00015044930266517443,0.0,0.0,down,0,1,1.0,,0.022821922644696013
UGT1A10,1,-1.564561112808483,0.4127773826143553,-2.3736047827326194,-0.7555174428843466,0.00015044930266517443,0.0,0.0,down,0,1,1.0,,0.022821922644696013
UGT1A3,1,-1.564561112808483,0.4127773826143553,-2.3736047827326194,-0.7555174428843466,0.00015044930266517443,0.0,0.0,down,0,1,1.0,,0.022821922644696013
UGT1A4,1,-1.564561112808483,0.4127773826143553,-2.3736047827326194,-0.7555174428843466,0.00015044930266517443,0.0,0.0,down,0,1,1.0,,0.022821922644696013
UGT1A5,1,-1.564561112808483,0.4127773826143553,-2.3736047827326194,-0.7555174428843466,0.00015044930266517443,0.0,0.0,down,0,1,1.0,,0.022821922644696013
UGT1A7,1,-1.564561112808483,0.4127773826143553,-2.3736047827326194,-0.7555174428843466,0.00015044930266517443,0.0,0.0,down,0,1,1.0,,0.022821922644696013
UGT1A9,1,-1.564561112808483,0.4127773826143553,-2.3736047827326194,-0.7555174428843466,0.00015044930266517443,0.0,0.0,down,0,1,1.0,,0.022821922644696013
DACOR1,1,-1.562384670176667,0.4126561340616434,-2.371190692937488,-0.7535786474158459,0.00015298942523042387,0.0,0.0,down,0,1,1.0,,0.023049365990327874
RGCC,3,0.5347859029430709,0.14140458214247567,0.25763292194381865,0.8119388839423232,0.00015560089190613802,0.0,0.0,up,3,0,1.0,0.25,0.02328441184490026
EML5,1,-1.5583587977955717,0.41243220590168933,-2.3667259213628826,-0.7499916742282606,0.00015780087751365474,0.0,0.0,down,0,1,1.0,,0.023455141169764507
SNORA64,1,1.5546586652299377,0.41222679876786184,0.7466941396449285,2.362623190814947,0.000162355495910138,0.0,0.0,up,1,0,1.0,,0.023898020547669603
PDP2,3,-0.5328326940390777,0.14134021559720958,-0.8098595166096085,-0.25580587146854694,0.00016333975358240327,0.0,0.0,down,0,3,1.0,0.25,0.023898020547669603
ILF3-DT,1,-1.553333969301029,0.4121533541894382,-2.361154543512328,-0.7455133950897301,0.0001640176603262645,0.0,0.0,down,0,1,1.0,,0.023898020547669603
ARHGAP42,1,-1.5514681638677947,0.412049993119837,-2.359086150382675,-0.7438501773529143,0.00016638749046204402,0.0,0.0,down,0,1,1.0,,0.024064283177309215
CARD6,3,0.7405008615363722,0.19676333187640127,0.3548447310586257,1.1261569920141188,0.00016761284720701042,0.04441609035201331,0.36139936930163097,up,3,0,1.0,0.25,0.024064283177309215
RNU6ATAC,1,1.5494602431411468,0.4119388690731779,0.7420600597577182,2.3568604265245754,0.00016897582862392303,0.0,0.0,up,1,0,1.0,,0.024064283177309215
ARPIN-AP3S2,2,-0.8598752672931964,0.22865363099195207,-1.3080363840374225,-0.41171415054897037,0.00016950504247348341,0.0,0.0,down,0,2,1.0,0.5,0.024064283177309215
CTAGE3P,3,-0.5318795690064947,0.1415317706387943,-0.8092818394585315,-0.2544772985544579,0.0001712615306591614,0.0,0.0,down,0,3,1.0,0.25,0.0240711417216335
GIMAP4,3,0.5315627713675687,0.1414730533138656,0.25427558687239216,0.8088499558627452,0.00017172711392143825,0.0,0.0,up,3,0,1.0,0.25,0.0240711417216335
SNHG33,1,1.5452716517951803,0.41170742750716194,0.738325093881143,2.3522182097092177,0.00017450458840979376,0.0,0.0,up,1,0,1.0,,0.02430662339315536
SNORA67,1,1.5413419874203769,0.4114907447164019,0.7348201277762292,2.3478638470645246,0.000179854711241581,0.0,0.0,up,1,0,1.0,,0.024630513662021243
SNORD8,1,1.5408500660568527,0.4114636508678862,0.7343813103557957,2.3473188217579097,0.00018053581185159718,0.0,0.0,up,1,0,1.0,,0.024630513662021243
BLVRA,3,0.5292138469171752,0.1413716328149065,0.2521254465999585,0.8063022472343919,0.00018153012057542384,0.0,0.0,up,3,0,1.0,0.25,0.024630513662021243
