gene,datasets,hedges_g,se,ci_lo,ci_hi,p_value,tau2,I2,direction,n_up,n_down,direction_ratio,sign_test_p,q_value
FAM90A25P,1,0.08931263300393243,0.36674876533259254,-0.629514947047949,0.8081402130558138,0.8075984252042557,0.0,0.0,up,1,0,1.0,,0.9385822591617469
FAM90A2P,1,0.08931263300393243,0.36674876533259254,-0.629514947047949,0.8081402130558138,0.8075984252042557,0.0,0.0,up,1,0,1.0,,0.9385822591617469
MCL1,3,0.07611336274931438,0.31255070589968087,-0.5364860208140602,0.6887127463126889,0.8076000785636177,0.21668446398502766,0.7691439541016492,up,2,1,0.6666666666666666,1.0,0.9385822591617469
ERCC3,3,-0.05832731256439572,0.23968105384695793,-0.5281021781044333,0.4114475529756418,0.8077312743797694,0.10049201651803383,0.5941939034841109,down,1,2,0.6666666666666666,1.0,0.9385822591617469
LINC02740,1,-0.06653706034881945,0.2734383074188937,-0.6024761428898511,0.46940202219221216,0.8077460351453596,0.0,0.0,down,0,1,1.0,,0.9385822591617469
SGSM3,3,0.08613056801545886,0.354039246834519,-0.6077863557801984,0.780047491811116,0.8077887154305843,0.2971091670360266,0.7722334564054691,down,1,2,0.6666666666666666,1.0,0.9385822591617469
SPATA3-AS1,2,0.0709524763305536,0.2917908913151363,-0.5009576706471136,0.6428626233082207,0.8078798510163168,0.11875165114514463,0.6862095161224474,up,1,1,0.5,1.0,0.9385822591617469
ELAC2,3,0.03381060339228186,0.13905368722325306,-0.23873462356529412,0.30635583034985786,0.8078908737051007,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9385822591617469
CELP,1,-0.08916449168615505,0.36674823524027605,-0.807991032757096,0.629662049384786,0.8079110425840158,0.0,0.0,down,0,1,1.0,,0.9385822591617469
PGBD2,3,0.050125734536768045,0.2062113125065653,-0.3540484379760999,0.454299907049636,0.8079438424504921,0.05895341462716471,0.4436866223940158,down,1,2,0.6666666666666666,1.0,0.9385822591617469
NR3C2,3,-0.03377292623210069,0.1389473500243581,-0.30610973227984256,0.23856387981564117,0.8079567803106077,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9385822591617469
OR1D2,3,0.03377948169018799,0.13904791560589888,-0.23875443289737383,0.3063133962777498,0.8080564406205291,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9385822591617469
SLC5A11,3,-0.10777634895246933,0.443946099444333,-0.977910703863362,0.7623580059584233,0.8081843545557866,0.5087600932062047,0.8400385071058492,up,2,1,0.6666666666666666,1.0,0.9385822591617469
CYP4V2,3,0.12468218903453417,0.513743458466288,-0.8822549895593903,1.1316193676284587,0.8082428567658324,0.707621981497572,0.8649782011266298,up,2,1,0.6666666666666666,1.0,0.9385822591617469
CMSS1,3,0.03374699465273018,0.13909767792477615,-0.23888445407983105,0.3063784433852914,0.8083047098064444,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9385822591617469
ARHGAP27,3,-0.03373156293294743,0.13904627507150702,-0.3062622620731012,0.23879913620720633,0.8083212063369853,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9385822591617469
CFAP54,1,-0.08896545878311528,0.36674752442737024,-0.8077906066607609,0.6298596890945304,0.8083311050908935,0.0,0.0,down,0,1,1.0,,0.9385822591617469
AKAP7,3,-0.033721429000889855,0.13910454305726444,-0.3063663333931282,0.23892347539134845,0.808456378056734,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9385822591617469
PGAP1,3,0.0337263862463325,0.13914584752339412,-0.23899947489951995,0.30645224739218496,0.8084845289184632,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9385822591617469
HS3ST4,3,-0.033725634663607715,0.13915900602065875,-0.3064772864640989,0.23902601713688343,0.8085064708615167,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9385822591617469
PRKAG3,3,-0.03602217137229262,0.14864701865971874,-0.3273703279453414,0.2553259852007561,0.8085216585362405,0.004717035110657117,0.0,down,1,2,0.6666666666666666,1.0,0.9385822591617469
RNF170,3,-0.05322336030258362,0.21963490459352866,-0.4837077733058998,0.37726105270073257,0.8085271723974723,0.07461133073405653,0.5141050229193033,down,1,2,0.6666666666666666,1.0,0.9385822591617469
MBLAC1,3,-0.03370435784929822,0.13916702969947764,-0.3064717360602744,0.23906302036167798,0.8086357553207305,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9385822591617469
PSMD14,3,0.037884153168994676,0.15642703237452768,-0.2687128302850796,0.34448113662306895,0.8086374497695805,0.011729805699059887,0.33458148236671975,up,2,1,0.6666666666666666,1.0,0.9385822591617469
BBS2,3,-0.11495702161620448,0.4747203603070716,-1.045408927818065,0.8154948845856559,0.8086582459981189,0.5947743126959364,0.9122069385003464,down,1,2,0.6666666666666666,1.0,0.9385822591617469
DUSP5,3,-0.03841195439353409,0.1586372404480454,-0.34934094567170304,0.2725170368846349,0.808673965730679,0.013424888865489143,0.3073458490719363,down,1,2,0.6666666666666666,1.0,0.9385822591617469
MCF2,3,-0.03368126292936044,0.13911486472828477,-0.3063463977967986,0.2389838719380777,0.8086940217609815,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9385822591617469
PLA2G4A,3,-0.05427385441218269,0.22420808716451981,-0.49372170525464154,0.38517399643027617,0.8087266051866203,0.0801607119669861,0.5316313751263853,up,2,1,0.6666666666666666,1.0,0.9385822591617469
EDC3,3,-0.04396455585537862,0.18165681262510444,-0.40001190860058333,0.3120827968898261,0.8087647767044174,0.03313980419781995,0.42387184893337443,down,1,2,0.6666666666666666,1.0,0.9385822591617469
PRKG1,3,-0.0336387924687848,0.13900867565792902,-0.30609579675832566,0.23881821182075602,0.8087874489191508,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9385822591617469
IL1F10,3,-0.03367821319648764,0.13919092683351217,-0.30649242979017144,0.23913600339719618,0.8088135151428719,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9385822591617469
CKMT2-AS1,1,-0.06615931071302271,0.2734374741566109,-0.6020967600599801,0.4697781386339347,0.8088157500384675,0.0,0.0,down,0,1,1.0,,0.9385822591617469
DLEC1,3,-0.05725091012253664,0.23680884908982525,-0.5213962543385942,0.40689443409352083,0.8089661258932463,0.0965145480437305,0.5899709203650211,down,1,2,0.6666666666666666,1.0,0.9386620573882979
GSK3B,3,-0.033587457998749376,0.13894351571251534,-0.3059167487952794,0.2387418327977807,0.8089858019384777,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9386620573882979
LINC02880,3,-0.06468762088337693,0.26763462082850287,-0.5892514777072426,0.4598762359404887,0.8090116653012972,0.11875908008216786,0.5576765145158523,down,1,2,0.6666666666666666,1.0,0.9386620573882979
WDR13,3,0.03358088074896701,0.13905490837042656,-0.23896673965706902,0.306128501155003,0.809172518624754,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9387995059972983
GNPTAB,3,-0.03664784214068769,0.15185092161668548,-0.33427564850939123,0.2609799642280159,0.8092908932458466,0.00835848322012386,0.3051493458305818,down,1,2,0.6666666666666666,1.0,0.9388494061407899
ZIM3,3,0.04460252914431862,0.18482060212647794,-0.3176458510235781,0.40685090931221535,0.8093003121250653,0.032218081291427204,0.23377788541710334,up,2,1,0.6666666666666666,1.0,0.9388494061407899
TSPAN3,3,0.048832910489228325,0.2024376555080498,-0.34794489430654924,0.4456107152850059,0.8093811681758178,0.054500425985005846,0.4578010486056964,up,2,1,0.6666666666666666,1.0,0.9388742115355528
ANKAR,3,0.045556488537177184,0.1889053677156672,-0.3246980321855305,0.4158110092598849,0.8094308239972023,0.040504679266817126,0.3246744642034008,down,1,2,0.6666666666666666,1.0,0.9388742115355528
N4BP2L2,3,0.06924721558735836,0.2871695011664722,-0.49360500669892715,0.6320994378736439,0.8094488732135208,0.1724981724556237,0.7138488242553346,down,1,2,0.6666666666666666,1.0,0.9388742115355528
HCN2,3,-0.03354006225414335,0.13913615021991788,-0.3062469166851824,0.23916679217689568,0.8095091606014821,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9388949662131985
C14orf180,1,0.08831640037520203,0.36674521744994787,-0.6305042258266957,0.8071370265770998,0.8097013547131569,0.0,0.0,up,1,0,1.0,,0.9390241162223979
SGMS2,3,0.03818956495900011,0.1585975746979028,-0.2726616814488894,0.34904081136688964,0.8097137022395835,0.01353621042773173,0.0,up,2,1,0.6666666666666666,1.0,0.9390241162223979
ANKRD1,3,0.04249024285669718,0.17649003494998078,-0.3034302256452652,0.3884107113586595,0.8097477117268865,0.02833394776917361,0.4215178534334622,up,2,1,0.6666666666666666,1.0,0.9390241162223979
UBE2G2,3,0.03346683314495401,0.13911997703566834,-0.23920832184495588,0.30614198813486393,0.8098954226887991,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9391462341635077
CDKN2AIP,3,0.03345901178224771,0.139170883013753,-0.23931591892470816,0.30623394248920355,0.8100071921302194,0.0,0.0,up,2,1,0.6666666666666666,1.0,0.9391890215982471
AASDHPPT,3,-0.03603644729000703,0.14989957948493698,-0.32983962308048353,0.25776672850046944,0.8100171355735819,0.007122414531401661,0.0,down,1,2,0.6666666666666666,1.0,0.9391890215982471
PTGER4P2-CDK2AP2P2,3,0.0905358471270788,0.3769535200491791,-0.6482930521693122,0.8293647464234697,0.8101924642497209,0.34627504419899,0.7851670887863988,down,1,2,0.6666666666666666,1.0,0.9393291817915396
SLC34A3,3,-0.04070293290619657,0.16949770024395125,-0.37291842538434106,0.2915125595719479,0.8102228455214602,0.022302328206080507,0.2917076793854447,down,1,2,0.6666666666666666,1.0,0.9393291817915396
CYP4F22,3,0.03338178663509582,0.13906493917772117,-0.23918549415323764,0.3059490674234293,0.810295687317856,0.0,0.0,down,1,2,0.6666666666666666,1.0,0.9393305736056023
MIR520B,1,0.08802872422012263,0.3667442003478326,-0.6307899084616293,0.8068473569018746,0.8103088729279375,0.0,0.0,up,1,0,1.0,,0.9393305736056023
ZNF235,3,-0.08935494491246283,0.3724390547598113,-0.819335492241693,0.6406256024167672,0.8103935936951072,0.33658203261136876,0.8004486447122489,up,2,1,0.6666666666666666,1.0,0.9393796147579577
