Supplementary Table 2: Differential expression results (DESeq2) of ulcerative colitis patients vs healthy controls. (i) UC vs CON);;;;;;
row;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
DEFA4;228.7357505;1.761929724;0.193790733;9.091919387;9.73058E-20;5.32235E-18
UQCR11.1;430.6689608;0.544782555;0.059941842;9.088518788;1.00397E-19;5.46518E-18
RNASE2;141.3824393;0.912084973;0.100433224;9.081506442;1.07082E-19;5.80131E-18
CD63;1964.368419;0.434058555;0.047836653;9.073765225;1.14974E-19;6.19932E-18
MT.TL2;262.6693473;0.926327453;0.102104103;9.072382299;1.16443E-19;6.24891E-18
RP13.516M14.1;108.9552907;0.504962186;0.055682695;9.068565881;1.20594E-19;6.44129E-18
HNRNPUL2;466.5280005;-0.277006766;0.030613441;-9.048534056;1.449E-19;7.70342E-18
AGPAT2;166.3976744;0.457377203;0.050581326;9.04241229;1.53252E-19;8.10952E-18
RPS9;708.0931779;0.451835742;0.049992976;9.037984412;1.59587E-19;8.40566E-18
S100P;1148.574587;1.006604871;0.111450733;9.031837187;1.68813E-19;8.85065E-18
CMTM2;977.6775551;0.61327282;0.067945389;9.025966664;1.78116E-19;9.29552E-18
MICAL1;207.1083742;0.385923277;0.042793149;9.018342477;1.90957E-19;9.92015E-18
SNORD45;41.40454812;1.030307339;0.114357366;9.009540678;2.06921E-19;1.07007E-17
RP11.925D8.5;181.7924954;0.763898732;0.084806945;9.007502107;2.10803E-19;1.08521E-17
ZBTB20;287.1182329;0.478260431;0.053169341;8.995041588;2.36143E-19;1.21018E-17
APBB3;95.20747553;0.485131729;0.053959046;8.990739627;2.45572E-19;1.25286E-17
F5;259.4039849;0.715194442;0.079577413;8.987405008;2.53136E-19;1.28568E-17
LCN2;87.98845833;1.343977443;0.149558584;8.986294236;2.55707E-19;1.29297E-17
LINC00173;221.6489825;0.600752461;0.066905182;8.979161885;2.72837E-19;1.37348E-17
SOX6;58.79706838;1.332920179;0.148488479;8.976589901;2.79289E-19;1.39976E-17
SF3A1;480.9221985;-0.316048252;0.035226409;-8.971912183;2.91411E-19;1.45411E-17
HNRNPH3;474.4871656;-0.376617313;0.041984641;-8.970359319;2.95549E-19;1.46535E-17
PSENEN;253.4973628;0.413244336;0.046069077;8.970102411;2.96239E-19;1.46535E-17
CTD.2349P21.10;43.91430204;0.721061953;0.080455406;8.962256045;3.18102E-19;1.56669E-17
ASAP1;1601.564915;0.406848137;0.045421271;8.957216095;3.32979E-19;1.63289E-17
CCT6A;264.7026777;-0.42541238;0.047499763;-8.956094734;3.36381E-19;1.64249E-17
RN7SL172P;124.8056461;0.620163718;0.06924982;8.955456063;3.38334E-19;1.64497E-17
