Supplementary Table 3: Differential expression results (DESeq2) of primary sclerosing cholangitis patients with and without UC comorbidity vs healthy controls. (ii) PSC alone + PSC/UC vs CON);;;;;;
row;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
WSB1;1477.833176;0.283799921;0.061792127;4.592816841;4.37303E-06;0.000121051
SIN3A;169.4970218;-0.232154192;0.050605353;-4.587542143;4.48495E-06;0.000123834
DROSHA;78.05916631;-0.306773555;0.066878041;-4.587059539;4.49533E-06;0.000123834
MSRB1;1591.109919;0.379842398;0.082918048;4.58093751;4.62896E-06;0.000126949
PRKCA;131.5448554;-0.34822687;0.076017845;-4.580856922;4.63075E-06;0.000126949
TTC9;99.41921258;-0.374757796;0.081826925;-4.579883668;4.65235E-06;0.000127177
HIC2;117.6856407;-0.304472575;0.066486315;-4.579477377;4.66139E-06;0.000127177
IL4R;1451.048971;0.362833049;0.079251125;4.57827004;4.68837E-06;0.000127607
ANXA5;305.5170613;0.286728843;0.062643003;4.577188645;4.71266E-06;0.000127962
HN1;742.4674835;0.284358698;0.062133901;4.576546643;4.72714E-06;0.000128049
IFIT1B;135.9745117;0.854705254;0.187075249;4.568777852;4.90576E-06;0.000132572
VCAN;2373.582373;0.351535879;0.076952929;4.568193644;4.91945E-06;0.000132627
NOP56;164.257633;-0.26729947;0.058529831;-4.566892911;4.95007E-06;0.000132881
MME;760.0407745;0.422628561;0.092543683;4.566800742;4.95224E-06;0.000132881
STX10;247.2579757;0.240024565;0.05258719;4.564316223;5.01125E-06;0.000134148
SIGLEC14;271.1082458;0.560124619;0.122731991;4.56380291;5.02352E-06;0.000134161
SHMT2;133.579347;-0.260960334;0.057261869;-4.55731431;5.18119E-06;0.000137725
PTDSS1;343.882913;-0.194236432;0.042618218;-4.557591592;5.17435E-06;0.000137725
RP11.427H3.3;250.3472022;-0.25104223;0.05509171;-4.556805899;5.19374E-06;0.000137737
ALPK1;378.063039;0.33653908;0.074056221;4.544372836;5.50991E-06;0.000145782
CPEB3;51.00275738;0.451657275;0.099463762;4.540922918;5.60085E-06;0.000147502
RABL2B;110.3383098;-0.301396241;0.066372133;-4.541005782;5.59865E-06;0.000147502
LIN7A;116.0147157;0.456189572;0.100477537;4.540214526;5.6197E-06;0.000147657
EIF1;3211.491601;0.289906976;0.063866184;4.539287549;5.64446E-06;0.000147966
CD163;101.2815153;0.474798866;0.104719748;4.533995487;5.78783E-06;0.000151164
MRPS18B;274.151947;-0.242649468;0.053520046;-4.533805281;5.79304E-06;0.000151164
PADI2;664.3142659;0.501628606;0.110699436;4.53144681;5.85811E-06;0.000152512
ROBO3;24.31943027;-0.590586413;0.130360477;-4.530410033;5.88693E-06;0.000152605
G3BP1;306.6235555;-0.230502469;0.050879577;-4.530353502;5.88851E-06;0.000152605
ATP1A1;423.9460175;-0.22222271;0.049073049;-4.528406438;5.94302E-06;0.000152802
ECHDC3;23.93169642;0.891335225;0.196842517;4.528164122;5.94984E-06;0.000152802
DUSP3;179.6483449;0.269924366;0.059608745;4.528267906;5.94692E-06;0.000152802
SLC16A10;24.14684667;-0.634074749;0.139996275;-4.529225864;5.92002E-06;0.000152802
ALOX5AP;2334.442735;0.409695508;0.090503544;4.526844924;5.98708E-06;0.00015324
